,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.0,0.0,0.023970668546384542,0.015727040042966905,0.009032160804020101,0.008400234839271775
1,100,2,1,0.2,0.0,0.0,0.031142674322356862,0.010143364853400534,0.013048241206030153,0.008400234839271775
2,100,2,1,0.5,0.0,0.0,0.02889543535179086,0.009094414188387195,0.007024120603015075,0.005499244572338301
3,100,2,1,1.0,0.0,0.0,0.026146607659777894,0.017824761968204143,0.009032160804020101,0.008400234839271775
4,100,2,2,0.1,0.0,0.0,0.04838414979376078,0.023929750573321498,0.04216482412060302,0.011447590448985316
5,100,2,2,0.2,0.0,0.0,0.04464180152745152,0.03682718221806255,0.03714472361809046,0.017534457233544132
6,100,2,2,0.5,0.0,0.0,0.03727218739732644,0.017335128240412143,0.05521708542713568,0.028264547883415054
7,100,2,2,1.0,0.0,0.0,0.09209793790438951,0.06909674950146207,0.07027738693467336,0.011447590448985316
8,100,2,5,0.1,0.0,0.0,0.059704729421541716,0.028553221383151004,0.05120100502512563,0.015874951670895535
9,100,2,5,0.2,0.0,0.0,0.08289893113422524,0.0510350494958565,0.07630150753768845,0.013281937486198625
10,100,2,5,0.5,0.0,0.0,0.06928742390965119,0.041744463004653,0.08533768844221107,0.031229705897448837
11,100,2,5,1.0,0.0,0.0,0.02916543962378294,0.012611263146159174,0.06324924623115578,0.012600352258907661
12,100,5,1,0.1,0.0,0.0,0.02905762259420796,0.0069890360243225255,0.018068341708542716,0.005723795224492658
13,100,5,1,0.2,0.0,0.0,0.021829123455579212,0.013746881674430632,0.009032160804020101,0.007613359365434673
14,100,5,1,0.5,0.0,0.0,0.05721682153634642,0.05581324383056173,0.02007638190954774,0.02284007809630402
15,100,5,1,1.0,0.0,0.0,0.022272598758276734,0.009039562690863454,0.011040201005025127,0.011773179256441222
16,100,5,2,0.1,0.0,0.0,0.03739654454419555,0.008972771648628157,0.03814874371859297,0.011557139265113687
17,100,5,2,0.2,0.0,0.0,0.058219785844900326,0.06937465034407342,0.04216482412060302,0.03609588408891518
18,100,5,2,0.5,0.0,0.0,0.05866136444330862,0.018202040749892262,0.05822914572864322,0.007613359365434671
19,100,5,2,1.0,0.0,0.0,0.03666169366797382,0.03016984477217595,0.040156783919597996,0.0308235806061824
20,100,5,5,0.1,0.0,0.0,0.09347954901023955,0.047189851759762466,0.06224522613065327,0.010883318545371917
21,100,5,5,0.2,0.0,0.0,0.08988678177560763,0.06184794559703117,0.0642532663316583,0.02525065640928509
22,100,5,5,0.5,0.0,0.0,0.051361573103529554,0.028239693433349037,0.07529748743718594,0.032026510090108234
23,100,5,5,1.0,0.0,0.0,0.0345473897239465,0.015957117202256677,0.07730552763819096,0.027815162375915328
24,100,10,1,0.1,0.0,0.0,0.040061868499164745,0.02116099837300481,0.02108040201005025,0.010040201005025128
25,100,10,1,0.2,0.0,0.0,0.029345244050822793,0.006192100530205435,0.017064321608040202,0.005499244572338301
26,100,10,1,0.5,0.0,0.0,0.028539889644534633,0.013382049923958026,0.010036180904522615,0.0065454102540677865
27,100,10,1,1.0,0.0,0.0,0.03794206134611655,0.01527652535121536,0.021080402010050254,0.007937475835447768
28,100,10,2,0.1,0.0,0.0,0.05643411862112262,0.02424824318835116,0.04919296482412061,0.018983681136470202
29,100,10,2,0.2,0.0,0.0,0.04478812874606724,0.03534196219357744,0.04316884422110553,0.015309248976175808
30,100,10,2,0.5,0.0,0.0,0.05876655516480391,0.03808015817446683,0.0652572864321608,0.01989125743055557
31,100,10,2,1.0,0.0,0.0,0.05932399533701995,0.061868037714628635,0.06023718592964824,0.033936770527385765
32,100,10,5,0.1,0.0,0.0,0.08105203422385193,0.03623909600437467,0.05320904522613066,0.012090002999209551
33,100,10,5,0.2,0.0,0.0,0.04640852589739791,0.014566488123546632,0.058229145728643225,0.014462769276981957
34,100,10,5,0.5,0.0,0.0,0.07842401906328156,0.0704877294930401,0.07630150753768845,0.04614671239834017
35,100,10,5,1.0,0.0,0.0,0.04591555313498238,0.017555841722903094,0.0803175879396985,0.018917188178628502
36,200,2,1,0.1,0.0,0.0,0.02405824306176704,0.01198699533809432,0.009032160804020101,0.010409901965816279
37,200,2,1,0.2,0.0,0.0,0.028631939312380766,0.007886030634322565,0.011040201005025127,0.003549747107564629
38,200,2,1,0.5,0.0,0.0,0.05344125856318125,0.04586571021202653,0.018068341708542712,0.01864884567375448
39,200,2,1,1.0,0.0,0.0,0.030366412979628922,0.016994504566189034,0.014052261306532665,0.009785977437652417
40,200,2,2,0.1,0.0,0.0,0.06443274443274442,0.029590273013350835,0.05019698492462312,0.015635014161703556
41,200,2,2,0.2,0.0,0.0,0.06478348704435662,0.03599782992939468,0.05622110552763819,0.011773179256441224
42,200,2,2,0.5,0.0,0.0,0.05051422574811367,0.02470402808914106,0.04818894472361809,0.02088023890325863
43,200,2,2,1.0,0.0,0.0,0.03264992878087278,0.012140004387703195,0.04718492462311558,0.020819803931632557
44,200,2,5,0.1,0.0,0.0,0.07063474284569074,0.02985264742554706,0.05220502512562815,0.01563501416170356
45,200,2,5,0.2,0.0,0.0,0.05596874104614043,0.03774266094512266,0.05120100502512563,0.021592268697928605
46,200,2,5,0.5,0.0,0.0,0.07407228224838287,0.05330704098233597,0.0873457286432161,0.03448922306187006
47,200,2,5,1.0,0.0,0.0,0.04475422889257409,0.02601339987956748,0.08232562814070353,0.03503296477597092
48,200,5,1,0.1,0.0,0.0,0.033131467654319964,0.014404636279683178,0.01907236180904523,0.012600352258907661
49,200,5,1,0.2,0.0,0.0,0.0408880119294509,0.028433174870291386,0.017064321608040202,0.01680046967854355
50,200,5,1,0.5,0.0,0.0,0.03868601032067075,0.013926350870654993,0.024092462311557795,0.011557139265113685
51,200,5,1,1.0,0.0,0.0,0.03088382466234376,0.010508114267596054,0.016060301507537688,0.011773179256441222
52,200,5,2,0.1,0.0,0.0,0.047461060948170854,0.02574319032428147,0.03413266331658292,0.012090002999209551
53,200,5,2,0.2,0.0,0.0,0.06812865497076023,0.0397682317960281,0.062245226130653274,0.013470343172998734
54,200,5,2,0.5,0.0,0.0,0.0670328673652975,0.03213021517254765,0.057225125628140715,0.021708669911687652
55,200,5,2,1.0,0.0,0.0,0.04537771654713184,0.02885657911214945,0.05521708542713568,0.031229705897448834
56,200,5,5,0.1,0.0,0.0,0.048938388752630235,0.014538838670903562,0.04919296482412061,0.012090002999209554
57,200,5,5,0.2,0.0,0.0,0.05412590022892374,0.025310417394797165,0.05220502512562815,0.019571954875304838
58,200,5,5,0.5,0.0,0.0,0.04565008166311977,0.024953307346161514,0.07027738693467338,0.013470343172998734
59,200,5,5,1.0,0.0,0.0,0.040067777661321316,0.025062557623080253,0.07931356783919599,0.04102991743710723
60,200,10,1,0.1,0.0,0.0,0.0343408529864906,0.010061543580251435,0.023088442211055278,0.010409901965816279
61,200,10,1,0.2,0.0,0.0,0.03385146008182658,0.002121694153159885,0.01606030150753769,0.008695069129453814
62,200,10,1,0.5,0.0,0.0,0.03543848849029609,0.011662273813867476,0.022084422110552764,0.012994207966270594
