,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.1291343743975323,0.05289665424293062,0.614110776037771,0.02442131637736305,0.19577989949748748,0.03521234620871042
1,100,2,1,0.2,0.1469508668481711,0.07330490103977157,0.6112507364404506,0.012937696310933377,0.16365125628140706,0.020576289075766113
2,100,2,1,0.5,0.12029393370856786,0.025502263372540166,0.6128386282005196,0.025542823410742495,0.18975577889447237,0.03849471200636811
3,100,2,1,1.0,0.11205128205128205,0.02121397824807492,0.6238343851596864,0.0220522526017943,0.17369145728643218,0.02397065135663721
4,100,2,2,0.1,0.04156545209176789,0.04307298254648918,0.6386209247544516,0.007045091913641949,0.17067939698492465,0.014375380142927717
5,100,2,2,0.2,0.08180836707152497,0.02727488561479526,0.6461628074008374,0.03468261104359721,0.20381206030150759,0.028085656542650578
6,100,2,2,0.5,0.15766907888859108,0.05916717065445483,0.5838826878899541,0.01857138234693433,0.20682412060301508,0.03496095449474105
7,100,2,2,1.0,0.16511968651503534,0.048890970953005354,0.5640711826744899,0.021273119457885035,0.2449768844221106,0.01995450483159541
8,100,2,5,0.1,0.0,0.0,0.6441667748091549,0.047904226174330586,0.1907597989949749,0.015226718730869348
9,100,2,5,0.2,0.10155195681511471,0.034441521841949575,0.6409172563603197,0.04148488962960884,0.2259005025125628,0.02978404940144148
10,100,2,5,0.5,0.1824175824175824,0.049171645991354825,0.5994470331106039,0.018343082455460888,0.2530090452261307,0.030823580606182385
11,100,2,5,1.0,0.2334725260873871,0.0483978484083954,0.5627353150167108,0.02693348828961934,0.2881497487437186,0.01891718817862851
12,100,5,1,0.1,0.1460839160839161,0.07371532744540357,0.6137376000949986,0.011492574021810973,0.17369145728643218,0.02474660057552236
13,100,5,1,0.2,0.10056383924163129,0.048139698067762034,0.6353488021670237,0.01765569988012173,0.18774773869346734,0.03163061712165093
14,100,5,1,0.5,0.09912087912087912,0.06744484046130186,0.6315301547110378,0.03519667147146593,0.18071959798994977,0.018581154540500928
15,100,5,1,1.0,0.11005003126954346,0.07255397853517705,0.6281208738707096,0.024255649920538774,0.18674371859296485,0.02188211077687002
16,100,5,2,0.1,0.031039136302294202,0.0460226529149256,0.6629154108900945,0.023578094510996357,0.1997959798994975,0.017244611530935025
17,100,5,2,0.2,0.10083374477469471,0.04779687444713629,0.6457376611343618,0.015141325173219384,0.20180402010050252,0.0311489044531278
18,100,5,2,0.5,0.12881899871630295,0.054283539662556016,0.6172672259247602,0.025551247597175624,0.22891256281407038,0.01260035225890766
19,100,5,2,1.0,0.20873754152823923,0.038014115317655625,0.5780077516697235,0.02799878807318437,0.25200502512562817,0.023546358512882434
20,100,5,5,0.1,0.0,0.0,0.6342546043609119,0.04776104482187568,0.17770753768844222,0.012994207966270597
21,100,5,5,0.2,0.08259109311740892,0.027349169538044737,0.6328336723517446,0.019250768814660216,0.21887236180904526,0.01260035225890766
22,100,5,5,0.5,0.15511968651503533,0.05716921552377203,0.599739935272819,0.01423401731636264,0.25200502512562817,0.014198988430258502
23,100,5,5,1.0,0.2072475586429075,0.04681895719844625,0.5540810359231412,0.01851424303087898,0.28112160804020103,0.01858115454050094
24,100,10,1,0.1,0.13719476928719548,0.06837112853891689,0.6223387237002261,0.017058061578953287,0.17971557788944725,0.03045343746173869
25,100,10,1,0.2,0.16665683909586348,0.040537685804071494,0.6366594058808754,0.019259488182584078,0.20180402010050252,0.030329052581962265
26,100,10,1,0.5,0.14753726893261776,0.05311744043392914,0.6162434553503053,0.019133990083253852,0.1917638190954774,0.021000587098179434
27,100,10,1,1.0,0.11102564102564103,0.021825016860170927,0.630712153755338,0.01972368452498026,0.16465527638190958,0.021179827222732928
28,100,10,2,0.1,0.010526315789473686,0.023537557657892526,0.6563309566250742,0.01804434501340442,0.2008,0.020514958718553612
29,100,10,2,0.2,0.10957572166814784,0.0390093968502116,0.6260140282001091,0.027207958765275826,0.19577989949748745,0.007446012350360363
30,100,10,2,0.5,0.15624050746001966,0.04903632209161617,0.6092281652146078,0.0306621283980243,0.22188442211055276,0.021592268697928612
31,100,10,2,1.0,0.2038670319208875,0.0951303430881773,0.6079279311474434,0.020988145570768422,0.24899296482412062,0.010409901965816279
32,100,10,5,0.1,0.0,0.0,0.6443963963963963,0.027387861541651768,0.1817236180904523,0.015472988917000018
33,100,10,5,0.2,0.09230769230769233,0.022934030538459382,0.6463547365810245,0.015819363083796105,0.23895276381909553,0.022895180897970636
34,100,10,5,0.5,0.14591262396140445,0.05779875094214609,0.5745808858082168,0.027427700353581205,0.23694472361809052,0.02188211077687002
35,100,10,5,1.0,0.20794442275440575,0.056710239590907215,0.5672659180412645,0.053395658799470065,0.2600371859296483,0.016111316310899817
36,200,2,1,0.1,0.11205128205128205,0.02121397824807492,0.6118799205755728,0.011582185049477988,0.17871155778894474,0.007613359365434679
37,200,2,1,0.2,0.11057634705901716,0.05183099115196722,0.642144021011677,0.018500920169166133,0.19678391959798996,0.02159226869792861
38,200,2,1,0.5,0.11153846153846154,0.021529302081726487,0.6312873618476282,0.02792513427722402,0.1666633165829146,0.024335840088235743
39,200,2,1,1.0,0.09153846153846154,0.055140129896920895,0.6129006583609982,0.015599456309610479,0.17369145728643218,0.03284235539007504
40,200,2,2,0.1,0.04210526315789474,0.023537557657892526,0.6381762805856974,0.02421484311125222,0.1907597989949749,0.027587724688181013
41,200,2,2,0.2,0.0820782726045884,0.02690140472995798,0.6586689117334279,0.03273564389683064,0.19577989949748745,0.024439177453655175
42,200,2,2,0.5,0.12030742898522102,0.04282497754360043,0.6137814384389727,0.016942492162346702,0.21987638190954778,0.01309082050813557
43,200,2,2,1.0,0.17434152159052899,0.05046986292818197,0.5934932395217496,0.03444940298066015,0.2530090452261307,0.010883318545371912
44,200,2,5,0.1,0.0,0.0,0.6501741371926337,0.019482557075877063,0.17469547738693467,0.005723795224492662
45,200,2,5,0.2,0.08209176788124158,0.043687391410224846,0.6485521198601367,0.04445700986378518,0.21084020100502515,0.018581154540500928
46,200,2,5,0.5,0.18234610917537747,0.0381864859994741,0.6108180918897392,0.022827549346551266,0.2540130653266332,0.019636230762203347
47,200,2,5,1.0,0.19921373200442966,0.0346351689357553,0.565057042828187,0.04389076411512103,0.27710552763819096,0.016266984818365457
48,200,5,1,0.1,0.12153846153846155,0.025981711061142485,0.6270732224509439,0.01495739225407719,0.1817236180904523,0.012798795211254252
49,200,5,1,0.2,0.1191844997108155,0.07782059317238452,0.6429486598695384,0.020668802330705692,0.1756994974874372,0.02826454788341506
50,200,5,1,0.5,0.11205128205128205,0.02121397824807492,0.622513575947287,0.02178395192938387,0.16264723618090454,0.02914253738377144
51,200,5,1,1.0,0.10256410256410257,0.0,0.6427449289035649,0.01035489715221763,0.17971557788944725,0.0027496222861691636
52,200,5,2,0.1,0.02105263157894737,0.028827503026587695,0.6412719365865434,0.01035990305413618,0.17770753768844222,0.004200117419635897
