,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.2,0.6429289093014583,0.09275740930358413,0.8820160077232213,0.007393481055947962,0.32429447236180914,0.031270028323407105
1,100,2,1,0.5,0.5665196633222873,0.043365558091925105,0.8858695874921964,0.020783284919263338,0.28011758793969854,0.01649773371701491
2,100,2,1,1.0,0.5016572069231309,0.04766909654668298,0.8681691383207454,0.012741625839205097,0.28011758793969854,0.028750760285855433
3,100,2,2,0.2,0.5896936477268128,0.03577373914805765,0.8825652871480869,0.019394263524333797,0.3222864321608041,0.02927196453743947
4,100,2,2,0.5,0.5796903408555358,0.0539492062030896,0.8659013190261804,0.029384313738501183,0.32730653266331666,0.030945977834000032
5,100,2,2,1.0,0.5976439766576752,0.08014297266611653,0.8344568395730205,0.022259995189500816,0.3503989949748744,0.030659624227372603
6,100,2,5,0.2,0.36005417862242606,0.057058583418549996,0.8426497880557287,0.019548746298736097,0.2700773869346734,0.007613359365434667
7,100,2,5,0.5,0.5241279320434501,0.06280150135028915,0.8506889093702318,0.02466600176008211,0.34136281407035185,0.013930213556367942
8,100,2,5,1.0,0.5806870205817575,0.034264883208307007,0.800511142925003,0.026467262694536167,0.3684713567839196,0.021120249531652934
9,100,5,1,0.2,0.6686526467029024,0.06369529403625228,0.8691336001524681,0.018979623933529356,0.3001979899497488,0.04268561671921976
10,100,5,1,0.5,0.5698281691239439,0.05350301588590381,0.88328131252501,0.008664292467361327,0.2971859296482412,0.03214432720198701
11,100,5,1,1.0,0.5278561777978097,0.0444326319565334,0.8640237855108992,0.025593950043749657,0.29818994974874374,0.038625424477607403
12,100,5,2,0.2,0.5903859649122806,0.008316603705788737,0.8942421934501141,0.011243119025828117,0.29216582914572864,0.020080402010050263
13,100,5,2,0.5,0.5667422957559943,0.03817499996146206,0.875460487225193,0.009558682140078583,0.3473869346733669,0.018100229769791597
14,100,5,2,1.0,0.5678525757473126,0.02550710732288719,0.8299709848096943,0.0337010754053918,0.36043919597989954,0.01687530510317352
15,100,5,5,0.2,0.33407156368221946,0.05556179564205609,0.856383704961637,0.038332907946590944,0.2720854271356784,0.00793747583544776
16,100,5,5,0.5,0.5260477869173521,0.05685330111197378,0.8213671921709306,0.024241429552411976,0.33835075376884427,0.02051495871855362
17,100,5,5,1.0,0.5880298965308959,0.0658811807802434,0.8151738119962418,0.02896776217340208,0.3654592964824121,0.013090820508135587
18,100,10,1,0.2,0.6908984799681828,0.07079812381697785,0.8847658979734453,0.008098384126243576,0.3172663316582915,0.04390794680615922
19,100,10,1,0.5,0.6114864521134002,0.0913908529265177,0.887896357719316,0.012532986794552572,0.3092341708542714,0.017606173104355194
