,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.0,0.0,0.3193554593554594,0.052725020814133966,0.0973859296482412,0.011447590448985315
1,100,2,1,0.2,0.0,0.0,0.29830681064696407,0.06852134104146969,0.09939396984924624,0.0193127122388037
2,100,2,1,0.5,0.0,0.0,0.2819821746880571,0.09478957736639895,0.07931356783919599,0.024999898891237677
3,100,2,1,1.0,0.0,0.0,0.2944266191325015,0.07722942428025568,0.08332964824120603,0.02289518089797063
4,100,2,2,0.1,0.0,0.0,0.4013702239789196,0.033579214680851815,0.11345025125628143,0.025744845273473628
5,100,2,2,0.2,0.0,0.0,0.4240998217468806,0.07647436926859465,0.13453467336683417,0.028085656542650585
6,100,2,2,0.5,0.0,0.0,0.33657495256166986,0.06774090934352926,0.12549849246231157,0.019571954875304838
7,100,2,2,1.0,0.0,0.0,0.3790944912964548,0.07012844854074508,0.12851055276381912,0.008400234839271771
8,100,2,5,0.1,0.0,0.0,0.41290747193186217,0.1016288980658085,0.12349045226130655,0.04009800366264954
9,100,2,5,0.2,0.0,0.0,0.4093491794001132,0.07093937653683483,0.12549849246231157,0.017171385673477976
10,100,2,5,0.5,0.0,0.0,0.3584632034632035,0.06180442099499608,0.14557889447236183,0.04176047780651727
11,100,2,5,1.0,0.0,0.0,0.33989592076548597,0.054380236079966955,0.16063919597989948,0.02051495871855362
12,100,5,1,0.1,0.0,0.0,0.29808571650003873,0.08273703451746636,0.12148241206030153,0.044193995087430535
13,100,5,1,0.2,0.0,0.0,0.31991341991341987,0.09065621394940358,0.09939396984924624,0.031067892860942796
14,100,5,1,0.5,0.0,0.0,0.3628874557936343,0.06595724190735898,0.09738592964824122,0.019571954875304835
15,100,5,1,1.0,0.0,0.0,0.3408678429650297,0.07119978515293153,0.08232562814070352,0.021996978289353205
16,100,5,2,0.1,0.0,0.0,0.3943966547192354,0.03403975374363095,0.12148241206030153,0.027724411196407228
17,100,5,2,0.2,0.0,0.0,0.3832900432900433,0.06488425140275529,0.12248643216080404,0.009656356119401846
18,100,5,2,0.5,0.0,0.0,0.37621300563236054,0.09375783897831286,0.12549849246231157,0.03202651009010823
19,100,5,2,1.0,0.0,0.0,0.3417220801364024,0.07023066980719062,0.14055879396984924,0.032026510090108234
20,100,5,5,0.1,0.0,0.0,0.3983915343915344,0.07258963851641259,0.1275065326633166,0.024949444957084198
21,100,5,5,0.2,0.0,0.0,0.38149445776220625,0.07777018223493541,0.13353065326633168,0.025498948088645418
22,100,5,5,0.5,0.0,0.0,0.36851540616246503,0.07026112460418216,0.15863115577889447,0.014462769276981952
23,100,5,5,1.0,0.0,0.0,0.30688410316893294,0.1005829049278103,0.1756994974874372,0.014807169168390828
24,100,10,1,0.1,0.0,0.0,0.2495593790537555,0.04424664572316302,0.07830954773869347,0.019636230762203357
25,100,10,1,0.2,0.0,0.0,0.319139092275911,0.08375523442397863,0.08734572864321609,0.013470343172998734
26,100,10,1,0.5,0.0,0.0,0.3056130664826317,0.04509619518292225,0.07830954773869349,0.014892024700720742
27,100,10,1,1.0,0.0,0.0,0.3823203463203463,0.07914638003384085,0.09537788944723619,0.03878819563479352
28,100,10,2,0.1,0.0,0.0,0.37754128912023643,0.050116727310936464,0.11847035175879399,0.017960457563998316
29,100,10,2,0.2,0.0,0.0,0.3769565217391304,0.04950964657488228,0.12851055276381912,0.02982632628489535
30,100,10,2,0.5,0.0,0.0,0.4043747412008282,0.06841366856114688,0.1275065326633166,0.02081980393163255
31,100,10,2,1.0,0.0,0.0,0.3405063602992503,0.06866196493388041,0.15963517587939702,0.03833069459226584
32,100,10,5,0.1,0.0,0.0,0.4166130268199234,0.050570718523346395,0.10843015075376886,0.013563564653286623
33,100,10,5,0.2,0.0,0.0,0.3466666666666667,0.06603870918719651,0.13051859296482413,0.02957175838904144
34,100,10,5,0.5,0.0,0.0,0.3894409410623333,0.042780917774188694,0.1546150753768844,0.026940686345997465
35,100,10,5,1.0,0.0,0.0,0.3977777777777778,0.1169045194450012,0.19477587939698496,0.0386580335374277
36,200,2,1,0.1,0.0,0.0,0.27168831168831165,0.047860074781797254,0.0963819095477387,0.028618976122463287
37,200,2,1,0.2,0.0,0.0,0.3202380541659479,0.034681873287256956,0.09236582914572863,0.016421177695037516
38,200,2,1,0.5,0.0,0.0,0.3643544690603514,0.07535627234030275,0.10039798994974877,0.03020415547243183
39,200,2,1,1.0,0.0,0.0,0.3318390804597701,0.09890034833497552,0.07730552763819096,0.0065454102540677865
40,200,2,2,0.1,0.0,0.0,0.4077534607309349,0.049396421021631595,0.11345025125628143,0.013563564653286626
41,200,2,2,0.2,0.0,0.0,0.37540189989039097,0.06103601624255056,0.12851055276381912,0.04179064066910382
42,200,2,2,0.5,0.0,0.0,0.38919674777995616,0.04863875785611462,0.13051859296482413,0.013470343172998733
43,200,2,2,1.0,0.0,0.0,0.36357142857142855,0.049023919378215916,0.14156281407035176,0.016266984818365457
44,200,2,5,0.1,0.0,0.0,0.411550175394569,0.06549739920437372,0.11144221105527641,0.021298482645387768
45,200,2,5,0.2,0.0,0.0,0.38798144787255495,0.05482233042075139,0.12650251256281408,0.021592268697928605
46,200,2,5,0.5,0.0,0.0,0.3696031746031746,0.059805945112494346,0.1536110552763819,0.02853078184149636
47,200,2,5,1.0,0.0,0.0,0.36677489177489175,0.03915670563976603,0.1837316582914573,0.018307887383197646
48,200,5,1,0.1,0.0,0.0,0.2814251641603452,0.0488104166875022,0.07730552763819096,0.025200704517815323
49,200,5,1,0.2,0.0,0.0,0.3060200668896321,0.07619142329501392,0.08232562814070352,0.012499949445618838
50,200,5,1,0.5,0.0,0.0,0.3736797802587276,0.10417194834912859,0.08433366834170855,0.019312712238803695
51,200,5,1,1.0,0.0,0.0,0.36754385964912284,0.07192371145855293,0.08132160804020101,0.024848229752952398
52,200,5,2,0.1,0.0,0.0,0.42362818590704643,0.016033429604030966,0.1034100502512563,0.010998489144676604
53,200,5,2,0.2,0.0,0.0,0.395527950310559,0.03307241995983845,0.11144221105527641,0.02008040201005025
54,200,5,2,0.5,0.0,0.0,0.3895238095238095,0.03469170994962666,0.13252663316582916,0.015226718730869344
55,200,5,2,1.0,0.0,0.0,0.36726989888514383,0.062108378332493115,0.1435708542713568,0.03045343746173869
56,200,5,5,0.1,0.0,0.0,0.39543799337916985,0.06269586928359461,0.11746633165829148,0.024695629150497677
57,200,5,5,0.2,0.0,0.0,0.4002578838785736,0.07709165475834458,0.12549849246231157,0.016421177695037523
58,200,5,5,0.5,0.0,0.0,0.40542016806722686,0.0460751214190949,0.14658291457286432,0.033488247236337206
59,200,5,5,1.0,0.0,0.0,0.3383068783068782,0.08151205363381009,0.1696753768844221,0.031868743071066886
60,200,10,1,0.1,0.0,0.0,0.3164912280701754,0.028870178850139247,0.11445427135678395,0.02205418769231388
61,200,10,1,0.2,0.0,0.0,0.3400103242408246,0.092561430811016,0.09838994974874374,0.01760617310435521
62,200,10,1,0.5,0.0,0.0,0.32976121439536077,0.06650964273733552,0.0803175879396985,0.01858115454050093
63,200,10,1,1.0,0.0,0.0,0.37827321362360294,0.032701895381006395,0.07830954773869346,0.008400234839271778
64,200,10,2,0.1,0.0,0.0,0.3911904761904762,0.012245134162498854,0.11445427135678395,0.020880238903258633
65,200,10,2,0.2,0.0,0.0,0.41993888464476703,0.06192855653766474,0.12148241206030153,0.02300499054904967
66,200,10,2,0.5,0.0,0.0,0.38266178769808534,0.09406792011086403,0.12549849246231157,0.027815162375915328
67,200,10,2,1.0,0.0,0.0,0.38021682181057603,0.05164325171156855,0.1536110552763819,0.02370635825962709
68,200,10,5,0.1,0.0,0.0,0.41292625503151825,0.03950763864499875,0.11445427135678395,0.018648845673754473
69,200,10,5,0.2,0.0,0.0,0.39781045751633987,0.03559722183782969,0.12449447236180906,0.02026778151653082
70,200,10,5,0.5,0.0,0.0,0.39530812324929976,0.042161719059183665,0.16666331658291458,0.012296684688645192
71,200,10,5,1.0,0.0,0.0,0.37058441558441557,0.024638320016097788,0.18573969849246233,0.025449483545288323
72,500,2,1,0.1,0.0,0.0,0.3097245375883147,0.0467240850295678,0.09437386934673368,0.029185743541497257
73,500,2,1,0.2,0.0,0.0,0.3255733808674985,0.05017566913901877,0.07630150753768844,0.02188211077687002
74,500,2,1,0.5,0.0,0.0,0.34512612280054145,0.04515549432500394,0.07429346733668343,0.022618324514055765
75,500,2,1,1.0,0.0,0.0,0.36465416936005174,0.04812952584994277,0.07931356783919599,0.02205418769231388
76,500,2,2,0.1,0.0,0.0,0.40277921816034346,0.041428321969487134,0.11043819095477389,0.027815162375915328
77,500,2,2,0.2,0.0,0.0,0.3889058068368413,0.05064533856015559,0.11144221105527641,0.025350264908099794
78,500,2,2,0.5,0.0,0.0,0.4156242333378765,0.030739643967513202,0.12148241206030153,0.01774873553782314
79,500,2,2,1.0,0.0,0.0,0.39435009938639703,0.03987363505335468,0.13051859296482413,0.01717138567347798
80,500,2,5,0.1,0.0,0.0,0.4076708074534161,0.0242742145256555,0.11345025125628143,0.01724461153093503
81,500,2,5,0.2,0.0,0.0,0.403501041442218,0.05249693719874023,0.12851055276381912,0.03106789286094279
82,500,2,5,0.5,0.0,0.0,0.3955830753353973,0.05474336365553705,0.15662311557788947,0.03233973524622714
83,500,2,5,1.0,0.0,0.0,0.4048701298701299,0.09339425533005635,0.18674371859296485,0.0345986550335129
84,500,5,1,0.1,0.0,0.0,0.32742744871227847,0.03598264915649353,0.09838994974874374,0.015715400368498524
85,500,5,1,0.2,0.0,0.0,0.3259029927760578,0.02210245896884904,0.0963819095477387,0.022729471741204224
86,500,5,1,0.5,0.0,0.0,0.35595238095238096,0.048605846815699044,0.07429346733668342,0.008400234839271773
87,500,5,1,1.0,0.0,0.0,0.3643885425137797,0.04387743600581314,0.07429346733668343,0.012600352258907661
88,500,5,2,0.1,0.0,0.0,0.37642857142857145,0.03318846068895777,0.09236582914572866,0.00965635611940185
89,500,5,2,0.2,0.0,0.0,0.41205280476644796,0.037032655731688166,0.11043819095477388,0.019891257430555566
90,500,5,2,0.5,0.0,0.0,0.41963636363636364,0.04682303593547603,0.1295145728643216,0.02057628907576611
91,500,5,2,1.0,0.0,0.0,0.3658263305322129,0.05438025649703557,0.12349045226130655,0.014892024700720737
92,500,5,5,0.1,0.0,0.0,0.4124098124098124,0.03768969499511498,0.10742613065326634,0.022281556462463287
93,500,5,5,0.2,0.0,0.0,0.4114358693669039,0.028310352728405576,0.13252663316582916,0.028706899451337288
94,500,5,5,0.5,0.0,0.0,0.4226107647360019,0.056161436660394484,0.14658291457286432,0.020080402010050256
95,500,5,5,1.0,0.0,0.0,0.3908963585434174,0.0995560924635494,0.1847356783919598,0.030659624227372596
96,500,10,1,0.1,0.0,0.0,0.34026549750334917,0.043158772494019525,0.10541809045226132,0.02141648068210436
97,500,10,1,0.2,0.0,0.0,0.3604702679619942,0.036579338382016165,0.09236582914572865,0.01989125743055557
98,500,10,1,0.5,0.0,0.0,0.3674074074074074,0.03337446022538909,0.07830954773869347,0.01995450483159542
99,500,10,1,1.0,0.0,0.0,0.33951612903225803,0.020375209206061513,0.08734572864321609,0.021416480682104368
100,500,10,2,0.1,0.0,0.0,0.38738095238095244,0.011773081252453447,0.11746633165829148,0.021416480682104357
101,500,10,2,0.2,0.0,0.0,0.4179089026915114,0.052320462786014064,0.11445427135678392,0.008400234839271771
102,500,10,2,0.5,0.0,0.0,0.4031987577639752,0.042056902323661376,0.12248643216080404,0.021996978289353205
103,500,10,2,1.0,0.0,0.0,0.368034188034188,0.06419821922904545,0.12549849246231157,0.023918026372506583
104,500,10,5,0.1,0.0,0.0,0.40444444444444444,0.045542003404264876,0.11847035175879399,0.02499989889123768
105,500,10,5,0.2,0.0,0.0,0.4027218351774877,0.02040644554703699,0.12349045226130655,0.015309248976175808
106,500,10,5,0.5,0.0,0.0,0.39732817337461307,0.055711800748934635,0.16465527638190955,0.02316872920292485
107,500,10,5,1.0,0.0,0.0,0.3771376971841368,0.0723587533446297,0.18373165829145732,0.02717354016908871
108,1000,2,1,0.1,0.0,0.0,0.29052287581699343,0.05488347805914452,0.07830954773869349,0.02449068262659863
109,1000,2,1,0.2,0.0,0.0,0.33725490196078434,0.05177895488676559,0.09136180904522614,0.02327724843467389
110,1000,2,1,0.5,0.0,0.0,0.33023858494446734,0.054635744159250085,0.08232562814070352,0.015226718730869348
111,1000,2,1,1.0,0.0,0.0,0.325062656641604,0.01708493931544288,0.07931356783919599,0.02499989889123768
112,1000,2,2,0.1,0.0,0.0,0.38816399286987524,0.029257848223967823,0.1034100502512563,0.020576289075766106
113,1000,2,2,0.2,0.0,0.0,0.39146423715945405,0.03600108566758095,0.10843015075376887,0.022895180897970636
114,1000,2,2,0.5,0.0,0.0,0.40988888888888886,0.04939979257216412,0.13453467336683417,0.027633361981062032
115,1000,2,2,1.0,0.0,0.0,0.3890448823207444,0.036766297951671245,0.13855075376884424,0.02875076028585543
116,1000,2,5,0.1,0.0,0.0,0.42056055305680495,0.02782326531003959,0.11244623115577893,0.017890161961330916
117,1000,2,5,0.2,0.0,0.0,0.4108454106280194,0.028381436940359415,0.12148241206030153,0.015472988917000018
118,1000,2,5,0.5,0.0,0.0,0.3997058823529412,0.044220468416668976,0.16666331658291458,0.01587495167089554
119,1000,2,5,1.0,0.0,0.0,0.3984876630077869,0.10728327079937217,0.18573969849246233,0.024180005998419102
120,1000,5,1,0.1,0.0,0.0,0.3141382868937049,0.0459937313586474,0.09437386934673367,0.032261714058385065
121,1000,5,1,0.2,0.0,0.0,0.36023809523809525,0.020492103451204686,0.10039798994974876,0.022562545577075366
122,1000,5,1,0.5,0.0,0.0,0.3813300492610837,0.027215439194582254,0.07730552763819096,0.026893873649734466
123,1000,5,1,1.0,0.0,0.0,0.3801914981788043,0.036208031692212865,0.0722854271356784,0.008248866858507451
124,1000,5,2,0.1,0.0,0.0,0.3915914786967419,0.03865057605948082,0.11345025125628143,0.021766637090743845
125,1000,5,2,0.2,0.0,0.0,0.4211111111111111,0.022360679774997873,0.11345025125628143,0.019636230762203354
126,1000,5,2,0.5,0.0,0.0,0.39340501792114696,0.04402157483131249,0.13754673366834172,0.02848658230784321
127,1000,5,2,1.0,0.0,0.0,0.38944094106233323,0.042780917774188694,0.13152261306532664,0.02100058709817944
128,1000,5,5,0.1,0.0,0.0,0.42155969634230506,0.020477808161522084,0.12248643216080404,0.02338526408875028
129,1000,5,5,0.2,0.0,0.0,0.3849821746880571,0.029957165635347057,0.12148241206030153,0.015060301507537689
130,1000,5,5,0.5,0.0,0.0,0.3906561085972851,0.05850612679109058,0.16365125628140703,0.03167042911616466
131,1000,5,5,1.0,0.0,0.0,0.3672082166199813,0.05934874385676901,0.17770753768844222,0.028264547883415054
132,1000,10,1,0.1,0.0,0.0,0.33672208013640237,0.029268596841144322,0.09136180904522614,0.01177317925644122
133,1000,10,1,0.2,0.0,0.0,0.3641779788838613,0.020794096053470604,0.09838994974874374,0.015309248976175813
134,1000,10,1,0.5,0.0,0.0,0.3745059842118666,0.017853112529152514,0.08834974874371862,0.010998489144676604
135,1000,10,1,1.0,0.0,0.0,0.39205288175876407,0.05458642030821724,0.08232562814070353,0.020514958718553616
136,1000,10,2,0.1,0.0,0.0,0.3945084598588492,0.019989603508055835,0.0963819095477387,0.009391748063786856
137,1000,10,2,0.2,0.0,0.0,0.3833468559837728,0.037882610683542414,0.10843015075376886,0.007613359365434676
138,1000,10,2,0.5,0.0,0.0,0.3957227555053642,0.048800150134856966,0.12549849246231157,0.017171385673477972
139,1000,10,2,1.0,0.0,0.0,0.3898583877995643,0.05102890570120786,0.13754673366834172,0.02520070451781532
140,1000,10,5,0.1,0.0,0.0,0.416246413134285,0.025842957932398804,0.11345025125628141,0.009119465438422297
141,1000,10,5,0.2,0.0,0.0,0.4080519480519481,0.03641462102955245,0.12047839195979901,0.022281556462463298
142,1000,10,5,0.5,0.0,0.0,0.3830994152046784,0.05531810984265213,0.14959497487437184,0.031067892860942786
143,1000,10,5,1.0,0.0,0.0,0.39235075210307413,0.07987732142601414,0.1847356783919598,0.019636230762203354
