,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.19383430501473659,0.05193049386652786,0.6463746661254075,0.025052610178619292,0.23594070351758795,0.04410837538462775
1,100,2,1,0.2,0.2672652850114361,0.11495659708763772,0.6562729775440416,0.010513332006477843,0.24999698492462316,0.024999898891237687
2,100,2,1,0.5,0.15342968099029455,0.06736645558699159,0.6499957704183056,0.01014873673379204,0.2138522613065327,0.021766637090743838
3,100,2,1,1.0,0.13688452468940274,0.06855394570921866,0.6446101515954458,0.03481496842544572,0.2279085427135678,0.028925538553963907
4,100,2,2,0.1,0.11212194876403611,0.05047599330647218,0.6646418642083699,0.014735205573782804,0.24397286432160806,0.02147523656941832
5,100,2,2,0.2,0.26495271867612297,0.047786346895498176,0.6741977712980198,0.004235950708070704,0.24899296482412062,0.04041102951899621
6,100,2,2,0.5,0.18879594733993116,0.05294789003321957,0.6600825081240541,0.018892071623142586,0.2851376884422111,0.033787924325212826
7,100,2,2,1.0,0.193989184054907,0.06357520111794204,0.6315097402597403,0.03509275066182933,0.2861417085427136,0.0249494449570842
8,100,2,5,0.1,0.009756097560975611,0.021815297341461367,0.6544721375441602,0.03593248007602226,0.19979597989949754,0.024746600575522356
9,100,2,5,0.2,0.13027282794724654,0.036343362021120686,0.6298398129340752,0.014812929200201618,0.2570251256281407,0.04802008880210875
10,100,2,5,0.5,0.22863416776460257,0.0333072561968887,0.612071611253197,0.04699985185227815,0.2881497487437186,0.055152607127659486
11,100,2,5,1.0,0.19452636208697566,0.044855090143512695,0.5759619076929395,0.03261717301051172,0.26304924623115583,0.02914253738377144
12,100,5,1,0.1,0.27342470530129115,0.11535261891190723,0.643594622891686,0.0195815246846912,0.25602110552763824,0.020205514759498094
13,100,5,1,0.2,0.21404875511119892,0.10216040325043002,0.6678237947600693,0.01834948218393771,0.2479889447236181,0.03430606073106857
14,100,5,1,0.5,0.17084568055245505,0.06824539026711608,0.6502646506012827,0.01949241342468133,0.23694472361809052,0.022729471741204224
15,100,5,1,1.0,0.14799154334038056,0.018909665771668412,0.649057502379789,0.023190552321889855,0.2409608040201005,0.03241756865662709
16,100,5,2,0.1,0.09056417836905642,0.10465508977257468,0.6748965591689473,0.023709673139227668,0.24296884422110554,0.03261133947164382
17,100,5,2,0.2,0.19382547853225301,0.08197396485948177,0.6553383816213052,0.0075516467522530085,0.26806934673366833,0.04620129161599475
18,100,5,2,0.5,0.19701361440491877,0.02087718653213406,0.6376575794786914,0.04407558807630776,0.25602110552763824,0.033750610206347016
19,100,5,2,1.0,0.2010694471335996,0.06244448643423703,0.6064359322898902,0.02360913192420112,0.25903316582914576,0.027173540169088715
20,100,5,5,0.1,0.0,0.0,0.6601949957173838,0.020094797298522468,0.21987638190954778,0.01687530510317351
21,100,5,5,0.2,0.12141347025067954,0.03883479617836688,0.6549493441881502,0.01666852138826973,0.2409608040201005,0.02469562915049767
22,100,5,5,0.5,0.1790989776429615,0.049549357175894926,0.6080092539039907,0.04112911129074556,0.275097487437186,0.04595517466876166
23,100,5,5,1.0,0.21084271712673494,0.05003256405613336,0.6027287872026829,0.03108600207845308,0.27409346733668344,0.03206583055929376
24,100,10,1,0.1,0.22727310436369672,0.14517992278789574,0.6375139727252404,0.023184742195116202,0.27308944723618095,0.03143080073699705
25,100,10,1,0.2,0.31546099290780144,0.061277580764344565,0.6753734686781149,0.03030839695588254,0.2821256281407035,0.029486414031020758
26,100,10,1,0.5,0.2874853616494954,0.0612533665427269,0.6481711525189786,0.01692158736372884,0.2931698492462312,0.026893873649734466
27,100,10,1,1.0,0.15644820295983086,0.023159516173579964,0.656114525412155,0.022732387799593776,0.23493668341708546,0.02940082193745121
28,100,10,2,0.1,0.07535635096610707,0.03968338326481204,0.6656496997626029,0.03557713764174326,0.25802914572864327,0.016800469678543543
29,100,10,2,0.2,0.25829035031162684,0.053376841406526196,0.6661296083684144,0.01795790937090686,0.2700773869346734,0.02205418769231388
30,100,10,2,0.5,0.3119454874148241,0.08276220386929803,0.6623612462271445,0.03401443558376173,0.2710814070351759,0.0335634173583846
31,100,10,2,1.0,0.23287748828121496,0.06212349951150745,0.626100546796199,0.02673655020979646,0.28312964824120607,0.03356341735838459
32,100,10,5,0.1,0.0,0.0,0.645994880107029,0.01483234935471108,0.18573969849246233,0.020205514759498097
33,100,10,5,0.2,0.13872948756669684,0.0432923844946252,0.6413047730829421,0.02002650100486697,0.2510010050251257,0.018238930876844583
34,100,10,5,0.5,0.21084271712673494,0.05003256405613336,0.6221731480300906,0.014770514724608236,0.30220603015075376,0.033862429210223144
35,100,10,5,1.0,0.2333921747759679,0.08721235788565387,0.6251552795031057,0.03589046804185257,0.2891537688442211,0.02598841593254119
36,200,2,1,0.1,0.1789704060684849,0.06472636213404746,0.6533201643344819,0.024084874421878937,0.2299165829145729,0.01963623076220336
