,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.0,0.0,0.34488184454589826,0.029715351383849377,0.14758693467336684,0.03061849795235162
1,100,2,1,0.2,0.0,0.0,0.3402707547382079,0.03591591765032428,0.1696753768844221,0.03849471200636811
2,100,2,1,0.5,0.051449275362318844,0.0469898343097782,0.3438255812691903,0.04317146189722299,0.1676673366834171,0.016800469678543543
3,100,2,1,1.0,0.01666666666666667,0.0372677996249965,0.3139807746134305,0.02460288278746809,0.16967537688442214,0.013090820508135571
4,100,2,2,0.1,0.0,0.0,0.3546758721960878,0.03407251823266098,0.14959497487437184,0.016875305103173505
5,100,2,2,0.2,0.05217391304347827,0.047628048478710105,0.3834795724309791,0.05314934988289606,0.1767035175879397,0.02927196453743948
6,100,2,2,0.5,0.06956521739130436,0.03888813873912678,0.3656310362192715,0.04297181911940061,0.2319246231155779,0.03496095449474105
7,100,2,2,1.0,0.05217391304347827,0.047628048478710105,0.29552967987750595,0.027541997795072,0.2510010050251257,0.05560766935494249
8,100,2,5,0.1,0.0,0.0,0.31160590112639514,0.024090990341696015,0.15561909547738692,0.021416480682104368
9,100,2,5,0.2,0.01739130434782609,0.03888813873912679,0.33082357859531775,0.04592602687025898,0.18674371859296485,0.018783496127573712
10,100,2,5,0.5,0.08623188405797103,0.0016203391141302833,0.32086823946523413,0.025268039774119795,0.2560211055276382,0.04481687518903514
11,100,2,5,1.0,0.08405797101449276,0.0016203391141302833,0.3001707930131097,0.023624923389789543,0.2389527638190955,0.041335886756560136
12,100,5,1,0.1,0.0,0.0,0.33617049617049616,0.020163031297978393,0.18071959798994977,0.013930213556367938
13,100,5,1,0.2,0.0,0.0,0.34853123680709885,0.023356341144564523,0.17168341708542714,0.027724411196407228
14,100,5,1,0.5,0.03478260869565218,0.047628048478710105,0.3537735121800802,0.03576520496481592,0.1676673366834171,0.03222263262179967
15,100,5,1,1.0,0.05217391304347827,0.047628048478710105,0.3311429512516469,0.034711579726499596,0.18272763819095478,0.04974714433244486
16,100,5,2,0.1,0.0,0.0,0.3770820853579474,0.032933571054092836,0.1817236180904523,0.025842549022226168
17,100,5,2,0.2,0.03478260869565218,0.047628048478710105,0.368058218141459,0.026403266021760914,0.18071959798994977,0.018238930876844587
18,100,5,2,0.5,0.08623188405797103,0.0016203391141302833,0.3535146069164041,0.06718429212869793,0.21284824120603013,0.029784049401441484
19,100,5,2,1.0,0.08550724637681159,0.001984502019946255,0.30367923591680557,0.03798594377575204,0.23995678391959802,0.029826326284895347
20,100,5,5,0.1,0.0,0.0,0.3454110954726718,0.029167646214415744,0.17369145728643218,0.01931271223880369
21,100,5,5,0.2,0.01739130434782609,0.03888813873912679,0.331239833612715,0.01376745025738061,0.18875175879396985,0.040566636677358964
22,100,5,5,0.5,0.08623188405797103,0.0016203391141302833,0.29983283667773286,0.025467216557130017,0.26003718592964825,0.03816597232349641
23,100,5,5,1.0,0.08478260869565218,0.001984502019946255,0.2792003284237971,0.02217986222410245,0.2299165829145729,0.024746600575522346
24,100,10,1,0.1,0.0,0.0,0.3647939068100359,0.056071646812946595,0.19477587939698496,0.02646883397012584
25,100,10,1,0.2,0.03478260869565218,0.047628048478710105,0.3614350238740482,0.03488538095492266,0.1917638190954774,0.05324620661346942
26,100,10,1,0.5,0.06884057971014493,0.038515021060632794,0.313343316519546,0.018183937025952366,0.16967537688442214,0.0356038042276797
27,100,10,1,1.0,0.03478260869565218,0.047628048478710105,0.3440868056347932,0.025152995719799176,0.1937718592964824,0.025988415932541184
28,100,10,2,0.1,0.0,0.0,0.37102753890391665,0.04239814229906471,0.15260703517587942,0.024949444957084198
29,100,10,2,0.2,0.01739130434782609,0.03888813873912679,0.38493548449127934,0.05564362859546148,0.20582010050251257,0.04396530535028243
30,100,10,2,0.5,0.06956521739130436,0.03888813873912678,0.3694145242711385,0.06243949773801766,0.23393266331658294,0.03065962422737259
