,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.0,0.0,0.3299091915836102,0.05182106994884512,0.07931356783919599,0.02176663709074384
1,100,2,1,0.2,0.0,0.0,0.34244598060953874,0.061987056487498256,0.08533768844221105,0.011447590448985316
2,100,2,1,0.5,0.0,0.0,0.3261128278703601,0.03254195789565172,0.07730552763819096,0.020819803931632557
3,100,2,1,1.0,0.0,0.0,0.30573605852804964,0.053292980137615874,0.08132160804020101,0.022450571954997892
4,100,2,2,0.1,0.0,0.0,0.3321850297127591,0.06993253301263272,0.1034100502512563,0.03524811294846315
5,100,2,2,0.2,0.0,0.0,0.304162577821564,0.04729931373898427,0.13855075376884424,0.02853078184149636
6,100,2,2,0.5,0.021052631578947368,0.047075115315785045,0.2708852228852229,0.01869137846565706,0.16666331658291458,0.015472988917000016
7,100,2,2,1.0,0.021052631578947368,0.047075115315785045,0.2703988100976436,0.020925233292789277,0.19477587939698496,0.036304733762879966
8,100,2,5,0.1,0.0,0.0,0.31441422461386165,0.05146860957972648,0.13553869346733668,0.01563501416170356
9,100,2,5,0.2,0.021052631578947368,0.047075115315785045,0.2829785107446277,0.03498896206629539,0.15963517587939696,0.01760617310435521
10,100,2,5,0.5,0.08421052631578947,0.047075115315785045,0.23856661856661857,0.05650568786373924,0.18573969849246236,0.05672935691831209
11,100,2,5,1.0,0.08421052631578947,0.047075115315785045,0.25650291737248254,0.037941928429497694,0.29919396984924623,0.034158823739432756
12,100,5,1,0.1,0.0,0.0,0.3730854415460173,0.05160040509871125,0.09236582914572865,0.021120249531652938
13,100,5,1,0.2,0.0,0.0,0.34230361326920705,0.060481166407675695,0.08433366834170855,0.019636230762203357
14,100,5,1,0.5,0.0,0.0,0.33657213534282826,0.07979369133527664,0.08232562814070352,0.026893873649734463
15,100,5,1,1.0,0.0,0.0,0.31412190874259843,0.03755004404264561,0.09437386934673368,0.017960457563998312
16,100,5,2,0.1,0.0,0.0,0.35580047151769867,0.05591321512234713,0.09136180904522614,0.015874951670895532
17,100,5,2,0.2,0.021052631578947368,0.047075115315785045,0.2913530802391879,0.0555525929098418,0.12047839195979901,0.018581154540500935
18,100,5,2,0.5,0.021052631578947368,0.047075115315785045,0.28592451027233634,0.024469622408598398,0.14055879396984924,0.04235965444546584
19,100,5,2,1.0,0.0,0.0,0.23939194139194137,0.03437208915804894,0.17369145728643218,0.02147523656941832
20,100,5,5,0.1,0.0,0.0,0.2573730300385648,0.044996277422415375,0.1355386934673367,0.039750828265194625
21,100,5,5,0.2,0.042105263157894736,0.05765500605317538,0.27696252746037014,0.07226518438891742,0.14256683417085428,0.06896017610723006
22,100,5,5,0.5,0.08421052631578947,0.047075115315785045,0.25514825676116004,0.02083972451540898,0.22188442211055276,0.025597590422508504
23,100,5,5,1.0,0.06315789473684211,0.057655006053175376,0.2215802844498497,0.03272899653644253,0.20782814070351757,0.04820342223225586
24,100,10,1,0.1,0.0,0.0,0.35512769482833634,0.06360659841967571,0.09838994974874372,0.05272300654176084
25,100,10,1,0.2,0.0,0.0,0.3893442940038685,0.06636108688340696,0.07931356783919599,0.010998489144676602
26,100,10,1,0.5,0.0,0.0,0.3590476190476191,0.06572921888642448,0.07429346733668343,0.021179827222732924
27,100,10,1,1.0,0.0,0.0,0.4098620163266184,0.08401855467031534,0.07128140703517588,0.015060301507537689
28,100,10,2,0.1,0.0,0.0,0.3681182926499608,0.045456385741030426,0.1034100502512563,0.020880238903258633
29,100,10,2,0.2,0.021052631578947368,0.047075115315785045,0.3057504197039081,0.03671245870184202,0.13051859296482413,0.02544948354528832
30,100,10,2,0.5,0.0,0.0,0.26892300775542316,0.04673664502816086,0.1837316582914573,0.0404110295189962
31,100,10,2,1.0,0.021052631578947368,0.047075115315785045,0.2605709872336559,0.04241081304555366,0.17168341708542717,0.06280143722207843
32,100,10,5,0.1,0.0,0.0,0.27680343466057755,0.04580200899755948,0.11545829145728644,0.04338830783094587
33,100,10,5,0.2,0.042105263157894736,0.05765500605317538,0.2586752136752137,0.056493075697150834,0.13553869346733668,0.06059575314624885
34,100,10,5,0.5,0.08421052631578947,0.047075115315785045,0.267658357771261,0.050815173300221034,0.1847356783919598,0.08998451383141728
35,100,10,5,1.0,0.08421052631578947,0.047075115315785045,0.2295993788819876,0.04771846051276775,0.24296884422110548,0.03539081844277899
36,200,2,1,0.1,0.0,0.0,0.36280295272230756,0.05709252466730482,0.1034100502512563,0.04283296136420873
37,200,2,1,0.2,0.0,0.0,0.38749002942137956,0.09848751216510881,0.09336984924623117,0.025250656409285095
38,200,2,1,0.5,0.0,0.0,0.3800261758295507,0.04121224659714511,0.07429346733668343,0.018983681136470202
39,200,2,1,1.0,0.0,0.0,0.3236420699377743,0.06462637479930837,0.09437386934673368,0.018983681136470202
40,200,2,2,0.1,0.0,0.0,0.33683558053719087,0.03177408050126116,0.09336984924623115,0.028085656542650585
41,200,2,2,0.2,0.021052631578947368,0.047075115315785045,0.3144916968523813,0.060372059762634094,0.11043819095477389,0.03182917912897128
42,200,2,2,0.5,0.021052631578947368,0.047075115315785045,0.26986288416075654,0.0454243566333709,0.13553869346733668,0.03911170578814407
43,200,2,2,1.0,0.0,0.0,0.26935525022481543,0.03143160449619788,0.18272763819095478,0.04453482786150886
44,200,2,5,0.1,0.0,0.0,0.3039313644149311,0.0590496120173261,0.09738592964824122,0.02758772468818101
45,200,2,5,0.2,0.021052631578947368,0.047075115315785045,0.27448257006151744,0.043818767630576336,0.14859095477386935,0.050024992945466376
46,200,2,5,0.5,0.042105263157894736,0.05765500605317538,0.2516883116883117,0.03270239726654996,0.20582010050251257,0.027358396315266882
47,200,2,5,1.0,0.08421052631578947,0.047075115315785045,0.2257414582751914,0.03748397849764175,0.21786834170854275,0.008980228781999148
48,200,5,1,0.1,0.0,0.0,0.3835406698564593,0.07701569264793336,0.08332964824120605,0.02205418769231388
49,200,5,1,0.2,0.0,0.0,0.36476452569331824,0.05799875221112369,0.08132160804020101,0.009391748063786854
50,200,5,1,0.5,0.0,0.0,0.3401532567049808,0.043481441793591605,0.08232562814070352,0.010883318545371922
51,200,5,1,1.0,0.0,0.0,0.34546954503722394,0.042385921669135566,0.05822914572864322,0.007613359365434671
52,200,5,2,0.1,0.0,0.0,0.3487086616458433,0.034774766396008926,0.09336984924623118,0.016497733717014903
53,200,5,2,0.2,0.0,0.0,0.3123329019065235,0.05437698583777088,0.11646231155778897,0.021298482645387768
54,200,5,2,0.5,0.042105263157894736,0.05765500605317538,0.25500924362993327,0.02717773875145791,0.13453467336683417,0.055516955315169064
55,200,5,2,1.0,0.021052631578947368,0.047075115315785045,0.2749434621288168,0.01894868911281125,0.18272763819095478,0.042656086714496
56,200,5,5,0.1,0.0,0.0,0.2608128323289614,0.04199314237600798,0.1194743718592965,0.031470865508821756
57,200,5,5,0.2,0.021052631578947368,0.047075115315785045,0.28762520010766857,0.058596454619524445,0.14457487437185929,0.03303363455776028
58,200,5,5,0.5,0.042105263157894736,0.05765500605317538,0.2539351276742581,0.024010330533542863,0.2088321608040201,0.02717354016908871
59,200,5,5,1.0,0.06315789473684211,0.057655006053175376,0.2237556561085973,0.027713777794780767,0.23493668341708548,0.04179064066910382
60,200,10,1,0.1,0.0,0.0,0.40070765379822915,0.05558141976099409,0.08332964824120603,0.019636230762203357
61,200,10,1,0.2,0.0,0.0,0.37558526440879386,0.024627711139348356,0.08734572864321608,0.010883318545371922
62,200,10,1,0.5,0.0,0.0,0.33247706834869606,0.04143750891718435,0.07931356783919599,0.03322381249380205
63,200,10,1,1.0,0.0,0.0,0.33701267783620725,0.06287150715587704,0.07429346733668343,0.017606173104355208
64,200,10,2,0.1,0.0,0.0,0.353856064469272,0.05475466054570196,0.11847035175879399,0.039143909750609676
65,200,10,2,0.2,0.021052631578947368,0.047075115315785045,0.28412457442629474,0.0571688787488417,0.09035778894472364,0.011985325678318602
66,200,10,2,0.5,0.021052631578947368,0.047075115315785045,0.2797389514574365,0.04635822225652568,0.13754673366834172,0.04099919491880668
67,200,10,2,1.0,0.021052631578947368,0.047075115315785045,0.28820662768031186,0.03030781642762003,0.1566231155778895,0.03823194639576907
68,200,10,5,0.1,0.0,0.0,0.28051619433198377,0.02572956316367775,0.09738592964824122,0.015226718730869348
69,200,10,5,0.2,0.021052631578947368,0.047075115315785045,0.26784388025767336,0.052467365398344436,0.13252663316582916,0.024695629150497677
70,200,10,5,0.5,0.06315789473684211,0.057655006053175376,0.24185645272601794,0.03666319571306221,0.2168643216080402,0.023277248434673894
71,200,10,5,1.0,0.08421052631578947,0.047075115315785045,0.23531493868450393,0.031478425417290574,0.22790854271356786,0.033185864094788686
72,500,2,1,0.1,0.0,0.0,0.3781611130804679,0.03842546053570062,0.08232562814070352,0.004200117419635883
73,500,2,1,0.2,0.0,0.0,0.3591187012439384,0.04350895378992522,0.0652572864321608,0.018238930876844587
74,500,2,1,0.5,0.0,0.0,0.3517301819627401,0.028681209348954694,0.06626130653266332,0.010040201005025125
75,500,2,1,1.0,0.0,0.0,0.35787899439154824,0.05061884709860592,0.06324924623115578,0.01571540036849852
76,500,2,2,0.1,0.0,0.0,0.3575487575487576,0.05396823319266139,0.10140201005025126,0.012798795211254254
77,500,2,2,0.2,0.0,0.0,0.306598681027678,0.05457577799302783,0.11244623115577893,0.027358396315266886
78,500,2,2,0.5,0.021052631578947368,0.047075115315785045,0.26828277431362985,0.027237667984861623,0.12851055276381912,0.055175449376362026
79,500,2,2,1.0,0.021052631578947368,0.047075115315785045,0.2422409411348719,0.03656390219333922,0.15762713567839198,0.048072541126650215
80,500,2,5,0.1,0.0,0.0,0.2946860916046536,0.050845307933736233,0.09537788944723619,0.023114278530227374
81,500,2,5,0.2,0.021052631578947368,0.047075115315785045,0.2717465100982922,0.0417708015088261,0.1365427135678392,0.03155084242433808
82,500,2,5,0.5,0.08421052631578947,0.047075115315785045,0.24785616959530005,0.03959030275268799,0.2138522613065327,0.05664043937632469
83,500,2,5,1.0,0.08421052631578947,0.047075115315785045,0.24449714536671055,0.0317515828113685,0.23493668341708546,0.047571909076348354
84,500,5,1,0.1,0.0,0.0,0.3962860668743022,0.07173772731394452,0.0803175879396985,0.007446012350360373
85,500,5,1,0.2,0.0,0.0,0.38169512966476915,0.06741466317752857,0.08332964824120603,0.011557139265113689
