,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.0,0.0,0.31217391304347825,0.1371446449708934,0.10943417085427136,0.032842355390075045
1,100,2,1,0.2,0.0,0.0,0.3265406162464986,0.04007811431688021,0.10140201005025126,0.015874951670895535
2,100,2,1,0.5,0.0,0.0,0.31425925925925924,0.07003942648253726,0.1034100502512563,0.025988415932541187
3,100,2,1,1.0,0.0,0.0,0.29725274725274725,0.07754361168762494,0.13152261306532664,0.038885531285037286
4,100,2,2,0.1,0.0,0.0,0.30468864468864465,0.09868120990609426,0.1034100502512563,0.012600352258907661
5,100,2,2,0.2,0.0,0.0,0.2948717948717948,0.042278544738054216,0.1295145728643216,0.018648845673754477
6,100,2,2,0.5,0.05,0.1118033988749895,0.32593100398053954,0.08675351015665188,0.1566231155778895,0.06901497164714901
7,100,2,2,1.0,0.0,0.0,0.2477777777777778,0.01600540032320881,0.21485628140703522,0.07314546563147917
8,100,2,5,0.1,0.0,0.0,0.3606666666666667,0.09435158833968946,0.11847035175879399,0.029185743541497257
9,100,2,5,0.2,0.05,0.1118033988749895,0.35213769718413684,0.09216504358810619,0.12248643216080404,0.02081980393163256
10,100,2,5,0.5,0.05,0.1118033988749895,0.3677622377622377,0.0770312335634089,0.202808040201005,0.05209790547861502
11,100,2,5,1.0,0.05,0.1118033988749895,0.2831578947368421,0.0389013083101653,0.2550170854271357,0.12227835455437501
12,100,5,1,0.1,0.0,0.0,0.27196597554492297,0.0865102590856928,0.09738592964824122,0.027358396315266886
13,100,5,1,0.2,0.0,0.0,0.3850544616673649,0.0891522245679033,0.10843015075376886,0.024746600575522353
14,100,5,1,0.5,0.0,0.0,0.36485396955985194,0.03834494654524772,0.11043819095477388,0.01028814453788306
15,100,5,1,1.0,0.0,0.0,0.3646565994392082,0.07579698198121684,0.10039798994974876,0.020514958718553616
16,100,5,2,0.1,0.0,0.0,0.3363561342380341,0.12296427274539848,0.11345025125628143,0.04118318624661647
17,100,5,2,0.2,0.0,0.0,0.33162393162393167,0.09786977920204878,0.14859095477386935,0.031868743071066886
18,100,5,2,0.5,0.05,0.1118033988749895,0.3076479076479076,0.07266654969743376,0.16465527638190955,0.04356220956134014
19,100,5,2,1.0,0.0,0.0,0.26153846153846155,0.025800784355766812,0.22489648241206034,0.09686322620736003
20,100,5,5,0.1,0.0,0.0,0.2744155844155844,0.05136040273459504,0.10039798994974876,0.032026510090108234
21,100,5,5,0.2,0.0,0.0,0.3180952380952381,0.06659434853075619,0.15863115577889447,0.06815144671169311
22,100,5,5,0.5,0.05,0.1118033988749895,0.32913752913752914,0.05252157428627568,0.17067939698492463,0.03729769134750895
23,100,5,5,1.0,0.05,0.1118033988749895,0.2848739495798319,0.04203256007201069,0.2259005025125628,0.0663527404254384
24,100,10,1,0.1,0.0,0.0,0.345797827903091,0.08720664934178628,0.12047839195979901,0.035032964775970926
25,100,10,1,0.2,0.0,0.0,0.3158163265306122,0.08030687158037873,0.1044140703517588,0.029826326284895347
26,100,10,1,0.5,0.0,0.0,0.3284188034188034,0.09662042543451997,0.1124462311557789,0.03280396571548108
27,100,10,1,1.0,0.0,0.0,0.30520361990950223,0.03655439323178723,0.10541809045226132,0.03412191522110244
28,100,10,2,0.1,0.0,0.0,0.29335383914331287,0.10507658954231704,0.10240603015075378,0.026421185265475027
29,100,10,2,0.2,0.0,0.0,0.35529470529470525,0.08797451119576623,0.13453467336683417,0.04209108048731323
30,100,10,2,0.5,0.0,0.0,0.3181578947368421,0.06932849661728786,0.15762713567839198,0.0650098169400462
31,100,10,2,1.0,0.0,0.0,0.2871428571428571,0.06495681453936945,0.19577989949748748,0.10406269971067426
32,100,10,5,0.1,0.0,0.0,0.3601010101010101,0.10857998574675178,0.1425668341708543,0.06520335656723239
33,100,10,5,0.2,0.0,0.0,0.33120370677915434,0.0750762970755854,0.14658291457286435,0.06280143722207843
34,100,10,5,0.5,0.05,0.1118033988749895,0.29887218045112784,0.07789987137256428,0.21485628140703522,0.0479675791212288
35,100,10,5,1.0,0.1,0.13693063937629152,0.27454545454545454,0.03437424345941005,0.24397286432160806,0.11803109304664049
36,200,2,1,0.1,0.0,0.0,0.33845410628019323,0.10564898196892845,0.10140201005025126,0.03496095449474104
37,200,2,1,0.2,0.0,0.0,0.3567912087912088,0.10502707800887694,0.09336984924623118,0.021475236569418323
38,200,2,1,0.5,0.0,0.0,0.29676214833759584,0.04237198566100984,0.09939396984924624,0.04456311292492658
39,200,2,1,1.0,0.0,0.0,0.3461172161172161,0.0855509777675964,0.09939396984924623,0.0242320620457508
40,200,2,2,0.1,0.0,0.0,0.32598290598290597,0.10601322973964392,0.10240603015075378,0.0219969782893532
41,200,2,2,0.2,0.0,0.0,0.28646996278575226,0.05948132435720256,0.13252663316582916,0.037634016380255916
42,200,2,2,0.5,0.0,0.0,0.3132051282051282,0.04588955669369362,0.1536110552763819,0.05752343008691694
43,200,2,2,1.0,0.05,0.1118033988749895,0.2782345191040843,0.04827838030913594,0.17971557788944725,0.1256329673746156
44,200,2,5,0.1,0.0,0.0,0.34571428571428575,0.08814991867985646,0.11445427135678395,0.03378792432521281
45,200,2,5,0.2,0.0,0.0,0.3435574229691877,0.06375934090312847,0.11445427135678395,0.011557139265113687
46,200,2,5,0.5,0.05,0.1118033988749895,0.331060606060606,0.04892086148776649,0.1817236180904523,0.04956952070470695
47,200,2,5,1.0,0.05,0.1118033988749895,0.25,0.0,0.3242944723618091,0.06897844612374011
48,200,5,1,0.1,0.0,0.0,0.30352889216047113,0.056350112290306995,0.0953778894472362,0.019571954875304838
49,200,5,1,0.2,0.0,0.0,0.32339393939393946,0.07553859259698659,0.11545829145728644,0.03574508972019896
50,200,5,1,0.5,0.0,0.0,0.3569474385263859,0.04557250040623469,0.0963819095477387,0.024335840088235743
51,200,5,1,1.0,0.0,0.0,0.38186813186813184,0.09716889661443621,0.11345025125628143,0.052842370530950054
52,200,5,2,0.1,0.0,0.0,0.3449572649572649,0.0911160820311349,0.11947437185929648,0.032649955636115766
53,200,5,2,0.2,0.0,0.0,0.31807109747613177,0.023865160769598732,0.10140201005025126,0.010040201005025125
54,200,5,2,0.5,0.05,0.1118033988749895,0.31700404858299597,0.08654112503891732,0.12851055276381912,0.0242320620457508
55,200,5,2,1.0,0.05,0.1118033988749895,0.3160427807486631,0.06044643837535135,0.18071959798994977,0.05869440022577269
56,200,5,5,0.1,0.0,0.0,0.33874458874458874,0.12903773645704658,0.12349045226130655,0.030245845147860655
57,200,5,5,0.2,0.0,0.0,0.3657142857142857,0.11173492684720843,0.1435708542713568,0.05284237053095006
