,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.10686524822695036,0.057037563979448584,0.345407885911963,0.01712446315411566,0.23527135678391964,0.04057698927078444
1,100,2,1,0.2,0.22317111459968605,0.055105466669298865,0.6240191767751958,0.019818595937554362,0.22790854271356786,0.04176047780651725
2,100,2,1,0.5,0.21814965986394558,0.03271360600094807,0.6333553191721585,0.010804441207386089,0.26606130653266336,0.03061849795235163
3,100,2,1,1.0,0.2328163265306123,0.016063182205712782,0.6185978330431048,0.04233783933365062,0.25602110552763824,0.027127129306573253
4,100,2,2,0.1,0.0603145235892692,0.023499918449901496,0.36909149140599984,0.02340669166277888,0.20849748743718596,0.017630013566331468
5,100,2,2,0.2,0.1550861147134439,0.06623044408600474,0.6553960312996457,0.0152509176223421,0.29116180904522615,0.0384619644785298
6,100,2,2,0.5,0.27113306861206016,0.0458017232787076,0.6367663219409538,0.014661684597475867,0.3062221105527639,0.013930213556367949
7,100,2,2,1.0,0.3468953314365354,0.06526480302691698,0.6233721128683583,0.023748758124808582,0.3413628140703518,0.027127129306573246
8,100,2,5,0.1,0.0,0.0,0.3673999321912208,0.03009083604650553,0.18674371859296487,0.005020100502512559
9,100,2,5,0.2,0.026280193236714978,0.03899840551916122,0.6523798787110952,0.026049612015644985,0.27409346733668344,0.014892024700720747
10,100,2,5,0.5,0.26055266228407187,0.05014592009954583,0.6024761500525507,0.03785792055941337,0.32931457286432164,0.013563564653286612
11,100,2,5,1.0,0.3594195907413281,0.018636530146318695,0.5858539599559017,0.05376380732346001,0.3815236180904523,0.028264547883415043
12,100,5,1,0.1,0.13873946206342835,0.0916597072351538,0.37329866092778574,0.03230124535889019,0.21519095477386938,0.020900345059966498
13,100,5,1,0.2,0.2696596943566977,0.03216382289186853,0.6503447938093838,0.025035716627432848,0.2680693467336684,0.021416480682104357
14,100,5,1,0.5,0.24662024809923971,0.02938045192726971,0.6246387512355196,0.03103829104302609,0.26706532663316584,0.03329957955341754
15,100,5,1,1.0,0.25589988210953096,0.08176160831003795,0.6349766651824733,0.014500016251696486,0.2931698492462312,0.03393677052738576
16,100,5,2,0.1,0.03478260869565218,0.0502043712338805,0.36706318642133795,0.02904543629132984,0.23025125628140708,0.015336660366033115
17,100,5,2,0.2,0.19629931972789116,0.030769573039243717,0.6627622137001855,0.024431915489068073,0.27308944723618095,0.020819803931632564
18,100,5,2,0.5,0.2434361820199778,0.036718808785305486,0.6411691704896985,0.028776641587784448,0.3172663316582915,0.03233973524622714
19,100,5,2,1.0,0.3157848101864329,0.0683585743826039,0.6152750589913547,0.01383444913022936,0.34738693467336684,0.02559759042250851
20,100,5,5,0.1,0.0,0.0,0.35866103266517724,0.005966661600788793,0.19176381909547743,0.03620045953958317
21,100,5,5,0.2,0.035169082125603865,0.03649565819769228,0.6506762705082032,0.01864955412459764,0.25501708542713575,0.01260035225890766
22,100,5,5,0.5,0.2749507850639926,0.062174304339088236,0.6144015569364265,0.029583281745648872,0.3463829145728644,0.015635014161703573
23,100,5,5,1.0,0.3696930301741674,0.06848147523670933,0.5908451714204468,0.022120611943942114,0.3865437185929649,0.028264547883415068
24,100,10,1,0.1,0.14235478806907378,0.06103204737853924,0.3707310690726707,0.007682186529304627,0.23861809045226134,0.010450172529983258
25,100,10,1,0.2,0.26251310509690085,0.06496617955659506,0.6399718384670505,0.026827056028760194,0.2690733668341709,0.02088023890325863
26,100,10,1,0.5,0.30391608391608393,0.021162368970256494,0.6379398777617661,0.017945045378074842,0.2961819095477387,0.02051495871855363
27,100,10,1,1.0,0.26534539969834087,0.02931642822980868,0.6233276852081798,0.017255265445664594,0.2821256281407035,0.029486414031020765
28,100,10,2,0.1,0.035169082125603865,0.02454435926989714,0.3657709428499908,0.016957136049973176,0.2218844221105528,0.010040201005025118
29,100,10,2,0.2,0.1732134896511796,0.049006273795212676,0.6704148490255335,0.0181161622752898,0.28011758793969854,0.021179827222732935
30,100,10,2,0.5,0.2739788838612368,0.03384745509579759,0.6386144609858458,0.0365964096069762,0.3132502512562814,0.02642118526547502
31,100,10,2,1.0,0.3454707624676665,0.07151464714407248,0.615370644859017,0.02149099131880337,0.3644552763819096,0.01830788738319766
32,100,10,5,0.1,0.0,0.0,0.3563865518637243,0.018565744465003968,0.20180402010050255,0.026563874972397258
33,100,10,5,0.2,0.03442080378250591,0.05556149055366272,0.6560351205019131,0.027385565755034442,0.2620452261306533,0.022729471741204224
34,100,10,5,0.5,0.2837338618255061,0.05884369955580305,0.6420359583868493,0.046587844026552507,0.3644552763819096,0.013563564653286642
35,100,10,5,1.0,0.3270104554315081,0.04977295265799417,0.5970628889514338,0.025170877665243646,0.36746733668341713,0.020391744638772177
36,200,2,1,0.1,0.14874811463046755,0.041578196401441954,0.3552355295594021,0.02320807218042067,0.2285778894472362,0.05320675036009735
37,200,2,1,0.2,0.25949924585218703,0.031201832767141786,0.6667227047725787,0.009551990626266283,0.23794874371859304,0.016800469678543546
38,200,2,1,0.5,0.28778280542986423,0.018174805829734044,0.6580578029455689,0.016232640757304274,0.2620452261306533,0.02817524419136056
39,200,2,1,1.0,0.23714027149321265,0.04302440385223957,0.6451143676579049,0.02043327124116319,0.2640532663316583,0.025250656409285095
40,200,2,2,0.1,0.026280193236714978,0.043481839180000446,0.3707497802285623,0.027643231442107185,0.2218844221105528,0.03291900043104371
41,200,2,2,0.2,0.14876904520673517,0.07608779678181218,0.6561906285818783,0.026875804407536074,0.2690733668341709,0.02853078184149637
42,200,2,2,0.5,0.26044042232277526,0.030348479219510015,0.6580273950475197,0.024640594443797476,0.31827035175879403,0.02593988476800211
43,200,2,2,1.0,0.3194653087240271,0.041688602330921795,0.6383258334048243,0.03259625132048122,0.3544150753768845,0.013563564653286637
44,200,2,5,0.1,0.0,0.0,0.3625716189207195,0.003890610215088958,0.20515075376884426,0.007668330183016562
45,200,2,5,0.2,0.026666666666666665,0.024343224778007384,0.6492386360426025,0.018821516644915135,0.2761015075376885,0.027127129306573253
46,200,2,5,0.5,0.26273880956994955,0.06630953209360628,0.6189384168043539,0.020407144882037927,0.34738693467336684,0.017023989078246607
47,200,2,5,1.0,0.3591464741232498,0.0388180082213727,0.6037779975815973,0.032386044907428566,0.3805195979899498,0.01830788738319763
48,200,5,1,0.1,0.1558069381598793,0.02128158271824722,0.35785119475745225,0.009088022579225178,0.22021105527638193,0.030673320732066228
49,200,5,1,0.2,0.2676078431372549,0.015433253491763232,0.6685262444114977,0.025024829883203547,0.2309206030150754,0.008980228781999158
50,200,5,1,0.5,0.2676078431372549,0.015433253491763232,0.6449927448701295,0.02765802164317995,0.2720854271356784,0.021592268697928612
51,200,5,1,1.0,0.243970795865516,0.04342945170686533,0.6375359105001277,0.01666091383499427,0.29116180904522615,0.04453482786150886
52,200,5,2,0.1,0.026280193236714978,0.043481839180000446,0.3681040478508833,0.030332958339214976,0.21853768844221108,0.017630013566331468
53,200,5,2,0.2,0.18101490809089596,0.042631709265198485,0.659636237136907,0.016252592473270305,0.26606130653266336,0.02284007809630402
54,200,5,2,0.5,0.25989324960753535,0.046032377883809227,0.6441124004017016,0.01953474909897373,0.3082301507537689,0.017534457233544132
55,200,5,2,1.0,0.3195883361921098,0.030784697995872586,0.623950174569843,0.03110265859305478,0.355419095477387,0.03978251486111113
56,200,5,5,0.1,0.0,0.0,0.36695739348370926,0.028625474685618116,0.20515075376884426,0.020288494635392226
57,200,5,5,0.2,0.01739130434782609,0.03888813873912679,0.6499477533960294,0.017113366069715454,0.2510010050251257,0.007446012350360363
58,200,5,5,0.5,0.25260148656375075,0.08611150009976042,0.6157901438886391,0.03806628548255213,0.3473869346733669,0.030741711721613003
59,200,5,5,1.0,0.3437668295866635,0.0642932732077996,0.5928304825083464,0.0345036929954897,0.37750753768844225,0.025597590422508497
60,200,10,1,0.1,0.1734827715959791,0.01746526197575628,0.35057854917668,0.013377224422523887,0.24865829145728643,0.06276798771918776
61,200,10,1,0.2,0.25380392156862747,0.01890179806292335,0.6559707342565979,0.010169958623538693,0.2570251256281407,0.021000587098179424
62,200,10,1,0.5,0.2875173453996983,0.03020008923688855,0.6597496196917083,0.022135756788682334,0.2700773869346734,0.03506891446708826
63,200,10,1,1.0,0.28267404055639345,0.0347144776616166,0.641070716552678,0.01577994288624515,0.29116180904522615,0.023114278530227378
64,200,10,2,0.1,0.035169082125603865,0.02454435926989714,0.3711207198130501,0.015874571516709606,0.23025125628140705,0.012633642547463117
65,200,10,2,0.2,0.20348299319727894,0.03666819377633463,0.6613571812494425,0.017578130443175154,0.2961819095477387,0.02593988476800211
66,200,10,2,0.5,0.27369717117616277,0.042305385476679884,0.6556902862581651,0.012082113974913104,0.3303185929648242,0.027633361981062032
67,200,10,2,1.0,0.3180778045483928,0.056396010514116426,0.6331247094241738,0.03517417720957829,0.3584311557788945,0.0182389308768446
68,200,10,5,0.1,0.0,0.0,0.3680734820469999,0.013257665758376997,0.1783768844221106,0.015336660366033115
69,200,10,5,0.2,0.026666666666666665,0.024343224778007384,0.6702929935113843,0.020123871828627442,0.2640532663316583,0.014892024700720726
70,200,10,5,0.5,0.2718460969293378,0.04266129699154432,0.6240570514105759,0.02763403723279693,0.3483909547738694,0.020514958718553623
71,200,10,5,1.0,0.3528915602564687,0.03563386062598089,0.5758522743140247,0.019152313865949375,0.3624472361809046,0.0311489044531278
