,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.2,0.2158154283527418,0.04751181026656724,0.6808447779856138,0.010429818263239684,0.23192462311557796,0.029271964537439472
1,100,2,1,0.5,0.17977846078652532,0.03115178997149642,0.6722283272283273,0.018615368958435984,0.2218844221105528,0.01878349612757371
2,100,2,1,1.0,0.16183612380333692,0.03703719080473449,0.6742077439091695,0.03210421362417333,0.20381206030150753,0.027860427112735876
3,100,2,2,0.2,0.19641788191450682,0.05232151671645849,0.6846822187647144,0.015563597895958868,0.2389527638190955,0.0189836811364702
4,100,2,2,0.5,0.21173695759456015,0.06506883686615846,0.6890228493556668,0.009553810206509881,0.2479889447236181,0.02712712930657324
5,100,2,2,1.0,0.1798791486291486,0.023244484520679072,0.6620522441076755,0.044499098400078124,0.27308944723618095,0.012499949445618849
6,100,2,5,0.2,0.11797553994275305,0.02647546351165328,0.6646175220660347,0.01926101750599041,0.23694472361809046,0.012296684688645206
7,100,2,5,0.5,0.22798097424963099,0.03757734246371093,0.6595683683077751,0.02380894409237812,0.2720854271356784,0.015874951670895542
8,100,2,5,1.0,0.22447827929433983,0.07110760937946838,0.6282006707197482,0.028288524049269577,0.3172663316582915,0.03155084242433808
9,100,5,1,0.2,0.2343326489028798,0.046096933706162774,0.6835668720573753,0.009952861697959678,0.20682412060301508,0.007937475835447773
10,100,5,1,0.5,0.2108249790604456,0.05480771590013135,0.6904664705387887,0.02933004857665635,0.21184422110552767,0.04000361827401688
11,100,5,1,1.0,0.15141611972257135,0.036825540023869355,0.6722450034898785,0.023621033683079874,0.24798894472361815,0.02735839631526689
12,100,5,2,0.2,0.2166942585674354,0.052413048667886895,0.681336621033686,0.0054668293171977,0.23694472361809046,0.027950736675714533
13,100,5,2,0.5,0.18460337962203635,0.033208654005440076,0.6636463433155115,0.01775094280135846,0.2540130653266332,0.018983681136470185
14,100,5,2,1.0,0.17058565602845716,0.04874027775186658,0.6563092904745742,0.021584894343101485,0.2761015075376885,0.01789016196133091
15,100,5,5,0.2,0.12449497620306718,0.013723707957007105,0.6667437339679301,0.01662562629639497,0.23393266331658294,0.02525065640928509
