,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.0,0.0,0.009523809523809523,0.021295885499997995,0.003008040201005026,0.004490114390999577
1,100,2,1,0.2,0.0,0.0,0.005632420763418702,0.00777785452479331,0.001,0.0
2,100,2,1,0.5,0.0,0.0,0.0,0.0,0.001,0.0
3,100,2,1,1.0,0.0,0.0,0.004255319148936171,0.00951518288297783,0.001,0.0
4,100,2,2,0.1,0.0,0.0,0.015461202214277192,0.008405354833775767,0.01204422110552764,0.009656356119401847
5,100,2,2,0.2,0.0,0.0,0.009909531180718278,0.003078658748170064,0.00802814070351759,0.005723795224492658
6,100,2,2,0.5,0.0,0.0,0.008002843391566573,0.004092691736101746,0.005016080402010051,0.0042001174196358865
7,100,2,2,1.0,0.0,0.0,0.01607252904662857,0.015450297978430911,0.019072361809045226,0.023168729202924846
8,100,2,5,0.1,0.0,0.0,0.008217909814465223,0.0026764260282277036,0.009032160804020101,0.007613359365434673
9,100,2,5,0.2,0.0,0.0,0.011711635021255606,0.0076067091536953044,0.01204422110552764,0.0065454102540677865
10,100,2,5,0.5,0.0,0.0,0.01653921761335343,0.00960891086761861,0.029112562814070354,0.025744845273473625
11,100,2,5,1.0,0.0,0.0,0.01873812011947385,0.0076498112713007755,0.0331286432160804,0.01724461153093503
12,100,5,1,0.1,0.0,0.0,0.013736467088029955,0.016258435124530415,0.005016080402010051,0.005499244572338301
13,100,5,1,0.2,0.0,0.0,0.02526462106301535,0.0393795754020381,0.007024120603015077,0.013470343172998734
14,100,5,1,0.5,0.0,0.0,0.015049908551428307,0.01617117848075595,0.005016080402010051,0.0065454102540677865
15,100,5,1,1.0,0.0,0.0,0.006354466176801202,0.005820198806064127,0.001,0.0
16,100,5,2,0.1,0.0,0.0,0.008656959109093804,0.005493907853653793,0.005016080402010051,0.0065454102540677865
17,100,5,2,0.2,0.0,0.0,0.006756482065426407,0.0010741954665616457,0.004012060301507537,0.0027496222861691506
18,100,5,2,0.5,0.0,0.0,0.012776462078891455,0.011796604733317582,0.01304824120603015,0.010409901965816279
19,100,5,2,1.0,0.0,0.0,0.008229622047356038,0.0037768471788042443,0.009032160804020101,0.010409901965816279
20,100,5,5,0.1,0.0,0.0,0.012315711606827014,0.008171112313249957,0.011040201005025127,0.006148342344322602
21,100,5,5,0.2,0.0,0.0,0.012143582502714833,0.006314962699801603,0.017064321608040202,0.01680046967854355
22,100,5,5,0.5,0.0,0.0,0.013080843507594647,0.004859557433366067,0.024092462311557792,0.021766637090743845
23,100,5,5,1.0,0.0,0.0,0.02334052421008943,0.015940971907537807,0.04216482412060302,0.032417568656627094
24,100,10,1,0.1,0.0,0.0,0.004122028364452607,0.00582583785016414,0.0020040201005025126,0.0022450571954997886
25,100,10,1,0.2,0.0,0.0,0.005538566089024805,0.008272317629221143,0.0020040201005025126,0.0022450571954997886
26,100,10,1,0.5,0.0,0.0,0.009372379088621749,0.010489088606546333,0.004012060301507537,0.004490114390999578
27,100,10,1,1.0,0.0,0.0,0.006195443065787289,0.006133066378333725,0.0020040201005025126,0.0022450571954997886
28,100,10,2,0.1,0.0,0.0,0.011995750415132556,0.008496263478096988,0.00802814070351759,0.008400234839271775
29,100,10,2,0.2,0.0,0.0,0.004869889302131325,0.0029392668832899276,0.003008040201005025,0.0027496222861691506
30,100,10,2,0.5,0.0,0.0,0.010441646932203712,0.00654650270904172,0.010036180904522615,0.008248866858507453
31,100,10,2,1.0,0.0,0.0,0.010054944944199102,0.00747946294042163,0.015056281407035178,0.012994207966270594
32,100,10,5,0.1,0.0,0.0,0.012311445458216497,0.008747175814840318,0.011040201005025127,0.007099494215129256
33,100,10,5,0.2,0.0,0.0,0.010249386255646524,0.0025770346931225877,0.01204422110552764,0.005499244572338302
34,100,10,5,0.5,0.0,0.0,0.012006903523214586,0.005261616273698961,0.023088442211055278,0.02205418769231388
35,100,10,5,1.0,0.0,0.0,0.016740689325130266,0.00664477489221496,0.031120603015075375,0.024335840088235743
36,200,2,1,0.1,0.0,0.0,0.005196324143692565,0.0071740319365238845,0.001,0.0
37,200,2,1,0.2,0.0,0.0,0.004237074401008828,0.005806723664263663,0.001,0.0
38,200,2,1,0.5,0.0,0.0,0.004819277108433735,0.010776231216866458,0.0020040201005025126,0.0022450571954997886
39,200,2,1,1.0,0.0,0.0,0.0073888725345893445,0.011215546832584201,0.0020040201005025126,0.0022450571954997886
40,200,2,2,0.1,0.0,0.0,0.0054144539765633385,0.0037911594164328154,0.004012060301507537,0.004490114390999578
41,200,2,2,0.2,0.0,0.0,0.015113726651729354,0.011202034723186316,0.015056281407035178,0.01563501416170356
42,200,2,2,0.5,0.0,0.0,0.008857971918778013,0.0024633440005154346,0.010036180904522614,0.00744601235036037
43,200,2,2,1.0,0.0,0.0,0.014450079151481799,0.004558227915998639,0.016060301507537688,0.009391748063786854
44,200,2,5,0.1,0.0,0.0,0.007481809131189435,0.0029886555470221314,0.00802814070351759,0.005723795224492658
45,200,2,5,0.2,0.0,0.0,0.01677357092498098,0.020885134361368657,0.01204422110552764,0.0065454102540677865
46,200,2,5,0.5,0.0,0.0,0.01062639573363525,0.0018070741386937226,0.01806834170854272,0.013563564653286625
47,200,2,5,1.0,0.0,0.0,0.016533625702394448,0.00766582475159393,0.030116582914572865,0.017171385673477976
48,200,5,1,0.1,0.0,0.0,0.013872162079195055,0.011729614761980662,0.006020100502512564,0.006148342344322602
49,200,5,1,0.2,0.0,0.0,0.012413691026827012,0.0070568384003509435,0.005016080402010051,0.002245057195499789
50,200,5,1,0.5,0.0,0.0,0.00789241854830281,0.005699831716621309,0.0020040201005025126,0.0022450571954997886
51,200,5,1,1.0,0.0,0.0,0.008142154647360147,0.006253634966896035,0.0020040201005025126,0.0022450571954997886
52,200,5,2,0.1,0.0,0.0,0.01796090764515485,0.019191340542735524,0.010036180904522615,0.008248866858507453
53,200,5,2,0.2,0.0,0.0,0.010656121777794457,0.0018278989549775958,0.009032160804020101,0.00274962228616915
54,200,5,2,0.5,0.0,0.0,0.011604769899862217,0.006797494493453042,0.011040201005025127,0.007937475835447768
55,200,5,2,1.0,0.0,0.0,0.01242757649083394,0.006084376310556439,0.016060301507537688,0.012798795211254254
56,200,5,5,0.1,0.0,0.0,0.007340039589156027,0.0016678073275962655,0.007024120603015075,0.0022450571954997886
57,200,5,5,0.2,0.0,0.0,0.009525772127531175,0.0028348776872920774,0.01204422110552764,0.008248866858507453
58,200,5,5,0.5,0.0,0.0,0.013215040345921431,0.00432548168284613,0.023088442211055278,0.014020377692186102
59,200,5,5,1.0,0.0,0.0,0.01331000009206144,0.00488448289208477,0.02710452261306533,0.01858115454050093
60,200,10,1,0.1,0.0,0.0,0.010509565040729122,0.006881556380594966,0.004012060301507538,0.0027496222861691506
61,200,10,1,0.2,0.0,0.0,0.010889084355400808,0.008451513366349531,0.003008040201005025,0.004490114390999577
62,200,10,1,0.5,0.0,0.0,0.01043690571026112,0.006821163252232197,0.004012060301507537,0.0027496222861691506
63,200,10,1,1.0,0.0,0.0,0.005854427496218541,0.006234474759914003,0.0020040201005025126,0.0022450571954997886
64,200,10,2,0.1,0.0,0.0,0.010059250681131584,0.003611279476874511,0.00802814070351759,0.005723795224492658
65,200,10,2,0.2,0.0,0.0,0.009203497896914766,0.004876096398839828,0.009032160804020101,0.009119465438422295
66,200,10,2,0.5,0.0,0.0,0.010402628841780491,0.00902437236076407,0.01204422110552764,0.01680046967854355
