,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,0.1,0.3182195353247985,0.11400041084835719,0.826628360997906,0.02810619430193743,0.2299165829145729,0.013090820508135571
1,100,2,1,0.2,0.284593837535014,0.04902360928046022,0.8346032798835997,0.029641294094275385,0.2620452261306533,0.03094597783400004
2,100,2,1,0.5,0.28758994259843157,0.13394275767045477,0.8131421542567054,0.03519040148812374,0.2620452261306533,0.049696459505904796
3,100,2,1,1.0,0.3607097686686903,0.1346404367824781,0.830376860380268,0.02401171273428517,0.26405326633165827,0.03647786175368918
4,100,2,2,0.1,0.038306451612903226,0.034978531396970707,0.802283666154634,0.02153429893784593,0.23794874371859298,0.009656356119401851
5,100,2,2,0.2,0.09652073732718894,0.08604257100249359,0.8269728547938071,0.03553752303271266,0.2620452261306533,0.03272705127033894
6,100,2,2,0.5,0.3228978978978979,0.13761498812639958,0.8291966155003909,0.0184081662035361,0.29718592964824125,0.020698404623075598
7,100,2,2,1.0,0.45831149598457993,0.1299783941362953,0.7848448989648364,0.028650414151619397,0.316262311557789,0.017171385673477958
8,100,2,5,0.1,0.0,0.0,0.7978721717182289,0.025626147472328272,0.2048160804020101,0.017960457563998306
9,100,2,5,0.2,0.0750733137829912,0.06588784361282636,0.8340565227846071,0.03381930768019458,0.29216582914572864,0.026800002949194178
10,100,2,5,0.5,0.27399500340676813,0.062302701032991514,0.7917827468230694,0.01348318120378407,0.320278391959799,0.03147086550882176
11,100,2,5,1.0,0.4693684011503517,0.10052310355188072,0.7859042672135652,0.04842150553951207,0.37650351758793976,0.042803533012150584
12,100,5,1,0.1,0.2776648841354724,0.14153145583040266,0.8197797773367617,0.016483515720296677,0.2620452261306533,0.028618976122463297
13,100,5,1,0.2,0.30911712242981587,0.061833973343251664,0.810345622267597,0.028357583899354347,0.24698492462311558,0.01463598226871974
14,100,5,1,0.5,0.2643939393939394,0.15275064455610285,0.8362405533401029,0.021740310438703576,0.2540130653266332,0.021766637090743838
15,100,5,1,1.0,0.26202021349080173,0.09239976157596624,0.8272630093142015,0.028229798209094645,0.2560211055276382,0.014375380142927713
16,100,5,2,0.1,0.012903225806451613,0.028852490032255353,0.7961287280690266,0.03559161814045855,0.21084020100502512,0.031229705897448837
17,100,5,2,0.2,0.1129032258064516,0.027049209405239392,0.8178151015651016,0.026825947823267648,0.2570251256281407,0.00793747583544776
18,100,5,2,0.5,0.2733838498544381,0.0727375927212124,0.8092248239443298,0.03400933464885023,0.2971859296482412,0.03706044783209338
19,100,5,2,1.0,0.4853390511927097,0.1202762557774979,0.8204166666666668,0.01770220482187333,0.34337085427135683,0.026421185265475038
20,100,5,5,0.1,0.0,0.0,0.7959691572594799,0.01850848153171317,0.1927678391959799,0.011985325678318602
21,100,5,5,0.2,0.03870967741935484,0.035336939193881686,0.7818178478612626,0.06078828115193281,0.2630492462311558,0.027587724688180996
22,100,5,5,0.5,0.25546218487394956,0.02761626340362181,0.7947087738273648,0.02517050377469469,0.3192743718592965,0.019312712238803677
23,100,5,5,1.0,0.44965941551307403,0.08837026279505744,0.7755962700073247,0.021546962861033137,0.36043919597989954,0.017606173104355215
24,100,10,1,0.1,0.15555028462998105,0.06413839428629281,0.8134172796299797,0.0223179129446502,0.23493668341708546,0.023168729202924846
25,100,10,1,0.2,0.3343258476385411,0.06487725418307276,0.8068563371079513,0.044157880494327374,0.2510010050251256,0.022562545577075356
26,100,10,1,0.5,0.3298427063132946,0.08404596067279678,0.8229503105590062,0.04049438175720654,0.2781095477386935,0.031630617121650946
27,100,10,1,1.0,0.33716553716553715,0.10682421655231115,0.8084804242051901,0.01985634583344265,0.2690733668341709,0.01611131631089982
28,100,10,2,0.1,0.03870967741935484,0.035336939193881686,0.7907635424091233,0.048034902997054846,0.22790854271356786,0.029142537383771438
29,100,10,2,0.2,0.12424242424242424,0.0016939908920452999,0.8116770865524046,0.040361413457068084,0.27409346733668344,0.011557139265113698
30,100,10,2,0.5,0.283982683982684,0.06187599610167064,0.8121359258344683,0.016557570160267588,0.31224623115577893,0.03155084242433808
31,100,10,2,1.0,0.4418207282913166,0.118545307049163,0.7750567665355805,0.03527693353645407,0.320278391959799,0.022895180897970633
32,100,10,5,0.1,0.0,0.0,0.789875129494,0.007459128022368674,0.21385226130653265,0.01830788738319765
33,100,10,5,0.2,0.03870967741935484,0.035336939193881686,0.8168121102454698,0.04021768212827687,0.275097487437186,0.029185743541497267
34,100,10,5,0.5,0.308695725800989,0.11441047189521909,0.7691708291708292,0.025704567271341062,0.3393547738693468,0.02896906835820554
35,100,10,5,1.0,0.4401638191111875,0.0821842643962723,0.7917345360296679,0.020852445350198846,0.3564231155778895,0.02712712930657325
36,200,2,1,0.1,0.24774625958836483,0.09528775426318924,0.8079248969882334,0.012292196060632752,0.24999698492462316,0.0164977337170149
37,200,2,1,0.2,0.2728715728715729,0.05545332698170482,0.8560506587321666,0.04496062806438667,0.2640532663316583,0.026705802295863557
38,200,2,1,0.5,0.29036748541392504,0.1032879805375044,0.8569252238391261,0.030746747676284783,0.26104120603015074,0.016421177695037516
39,200,2,1,1.0,0.2914425100183614,0.09186480901555329,0.817563868155516,0.018794011723447912,0.25501708542713575,0.021179827222732917
40,200,2,2,0.1,0.03870967741935484,0.035336939193881686,0.8133211051243838,0.019421683777694772,0.2218844221105528,0.015472988917000025
41,200,2,2,0.2,0.13489736070381234,0.06424898035251216,0.8349553321470642,0.044352301849060805,0.26606130653266336,0.0249494449570842
42,200,2,2,0.5,0.29299169299169303,0.07311601207462765,0.8114071368509566,0.026459889804104405,0.2861417085427136,0.02311427853022738
43,200,2,2,1.0,0.433642099495758,0.1584733126441789,0.8000683080249644,0.016099965077435042,0.3393547738693468,0.0429798008808261
44,200,2,5,0.1,0.0,0.0,0.8173363984573957,0.01643513858957947,0.2008,0.01789016196133091
45,200,2,5,0.2,0.05161290322580645,0.02885249003225535,0.8278586644497048,0.025908657712787025,0.27409346733668344,0.024746600575522356
46,200,2,5,0.5,0.2447669977081742,0.043287946143723416,0.7846192439946645,0.020741650236968428,0.3232904522613066,0.008248866858507444
47,200,2,5,1.0,0.4367188875198028,0.10859354831637558,0.7623647796020687,0.03566780886357005,0.3353386934673367,0.01724461153093501
48,200,5,1,0.1,0.2663754196881131,0.10773294095070614,0.8085451239371123,0.028232008627811816,0.23493668341708546,0.013563564653286621
49,200,5,1,0.2,0.275,0.11780301787479032,0.8123002372307729,0.016299932663108696,0.23694472361809046,0.017748735537823152
50,200,5,1,0.5,0.2764058278764161,0.13985100403847994,0.8410286038788687,0.03495267546716861,0.2821256281407035,0.03233973524622715
51,200,5,1,1.0,0.28290765937824763,0.07770362887467255,0.8492569557308363,0.019225344467329,0.26104120603015074,0.02081980393163255
52,200,5,2,0.1,0.025806451612903226,0.035336939193881686,0.7984053757188085,0.021449923712931935,0.22389246231155782,0.01040990196581627
53,200,5,2,0.2,0.15835777126099707,0.05245907278591882,0.8274033885145229,0.0308323719513895,0.2610412060301508,0.022840078096304006
54,200,5,2,0.5,0.2935064935064935,0.06575243147945306,0.8299991083601954,0.025362284687951823,0.32128241206030156,0.02544948354528832
55,200,5,2,1.0,0.4223592646835114,0.11993579848315859,0.7933038328043566,0.026302478366701396,0.3252984924623116,0.020267781516530803
56,200,5,5,0.1,0.0,0.0,0.8181987887904366,0.019174560312735553,0.20381206030150753,0.015309248976175808
57,200,5,5,0.2,0.05161290322580645,0.02885249003225535,0.8335221063089916,0.031338934734025256,0.2781095477386935,0.01522671873086935
58,200,5,5,0.5,0.3102348631760396,0.09388797526968143,0.7992742219410162,0.013495244099073047,0.3252984924623116,0.013563564653286612
59,200,5,5,1.0,0.45020242914979763,0.05618275090967619,0.7615855770744765,0.02769793940387801,0.36646331658291464,0.032611339471643824
60,200,10,1,0.1,0.16720142602495544,0.04787017308481037,0.7962197121579726,0.014744841371634369,0.25200502512562817,0.03329957955341754
61,200,10,1,0.2,0.24036779330896976,0.0764109973038793,0.8295625942684767,0.018958082063124153,0.25300904522613066,0.021120249531652924
62,200,10,1,0.5,0.2991645177403691,0.09288006605824607,0.8479963539285574,0.023099879586100252,0.2881497487437186,0.024695629150497684
63,200,10,1,1.0,0.2890878826637341,0.11749199029012165,0.878686897449457,0.030012600636737993,0.29116180904522615,0.016421177695037533
64,200,10,2,0.1,0.012903225806451613,0.028852490032255353,0.8099764048024529,0.030447024926853788,0.2389527638190955,0.020576289075766103
65,200,10,2,0.2,0.11217008797653957,0.04929977146742216,0.8379685098313846,0.01871790050828205,0.2690733668341709,0.020267781516530813
66,200,10,2,0.5,0.3655677655677655,0.08973985190690914,0.8184189723320158,0.018655493762671605,0.3042140703517588,0.02918574354149726
67,200,10,2,1.0,0.4386704566293783,0.09641444247615266,0.8045414772985611,0.02778901620200449,0.3373467336683418,0.029699315092042794
68,200,10,5,0.1,0.0,0.0,0.8032912939259585,0.008953773838709898,0.21485628140703522,0.023168729202924853
69,200,10,5,0.2,0.05161290322580645,0.02885249003225535,0.8082603451779311,0.006898268271807359,0.2600371859296483,0.02343908525105292
70,200,10,5,0.5,0.27445887445887446,0.05574170944699523,0.7937254687898022,0.012593920089316459,0.32831055276381915,0.02469562915049768
71,200,10,5,1.0,0.43425086445462285,0.13573220397306923,0.7665751899579727,0.03114995410771648,0.37047939698492466,0.01040990196581627
72,500,2,1,0.1,0.2854442854442854,0.10495483968367408,0.8218527708850288,0.017393972601428782,0.2389527638190955,0.01796045756399831
73,500,2,1,0.2,0.2713923847050782,0.06919432564170488,0.8439838667707521,0.03429566329818817,0.27108140703517586,0.033185864094788686
74,500,2,1,0.5,0.2819187004945519,0.08885526050591898,0.873342016844586,0.017181834153028517,0.25903316582914576,0.01309082050813556
75,500,2,1,1.0,0.23223198370257198,0.08235815979481753,0.8634582551240404,0.0212618355236653,0.2610412060301508,0.02665857714433046
76,500,2,2,0.1,0.025806451612903226,0.035336939193881686,0.8053612842986657,0.021868155793525624,0.2319246231155779,0.020391744638772177
77,500,2,2,0.2,0.13563049853372436,0.0488617251079841,0.8370849005094158,0.03857518864981091,0.26505728643216087,0.02763336198106203
78,500,2,2,0.5,0.3200593621646254,0.09228644896418856,0.8369813861183102,0.0327201078956916,0.2941738693467337,0.029185743541497257
79,500,2,2,1.0,0.4065697909993009,0.11209980948315025,0.7981928816877358,0.026430378547814673,0.3122462311557789,0.031947723968081675
80,500,2,5,0.1,0.0,0.0,0.806078431372549,0.019021179999259407,0.2058201005025126,0.013930213556367938
81,500,2,5,0.2,0.05161290322580645,0.02885249003225535,0.8161464878395608,0.023169597393068276,0.26505728643216087,0.02918574354149726
82,500,2,5,0.5,0.302000702000702,0.08161101605487595,0.8183361565970262,0.013335746147286567,0.33433467336683426,0.0237063582596271
83,500,2,5,1.0,0.45087719298245615,0.07406958537748963,0.775454481792717,0.012720275582307362,0.35742713567839196,0.023277248434673898
84,500,5,1,0.1,0.21740078806642277,0.0930142466423027,0.7966404719505151,0.019878041678062845,0.2570251256281407,0.025842549022226154
85,500,5,1,0.2,0.24697153528422883,0.09998976973461116,0.8441392576613822,0.0466714870807966,0.2510010050251257,0.02957175838904144
86,500,5,1,0.5,0.2617506332676612,0.09201381026378859,0.8509040528437082,0.02137755862327941,0.2700773869346734,0.016111316310899838
87,500,5,1,1.0,0.26381461675579326,0.06711176683428416,0.8552379903346303,0.0219827192740971,0.27308944723618095,0.02642118526547503
88,500,5,2,0.1,0.012903225806451613,0.028852490032255353,0.8085889929742389,0.02100417078054252,0.24598090452261306,0.031027307745170013
89,500,5,2,0.2,0.13489736070381234,0.06424898035251216,0.8265868771751125,0.026156452904552104,0.26003718592964825,0.02205418769231387
90,500,5,2,0.5,0.2834678834678835,0.06956256690704124,0.8227899813231397,0.020946861332583302,0.29116180904522615,0.026893873649734466
91,500,5,2,1.0,0.4150421915127797,0.11208386014966035,0.815148851599156,0.02252669024361587,0.3252984924623116,0.03322381249380207
92,500,5,5,0.1,0.0,0.0,0.8132281576947331,0.011719375749969431,0.19778793969849245,0.008248866858507444
93,500,5,5,0.2,0.05161290322580645,0.02885249003225535,0.8163784560802544,0.016968196782022535,0.2700773869346734,0.01611131631089984
94,500,5,5,0.5,0.27445887445887446,0.05574170944699523,0.8031105582175788,0.01524622486337556,0.3313226130653267,0.02338526408875028
95,500,5,5,1.0,0.4505019584608802,0.07838680232159533,0.7760128135575706,0.016281486553304685,0.3544150753768845,0.028309094085812694
96,500,10,1,0.1,0.20393312827523355,0.12357143744731451,0.805369662234732,0.028385135807559567,0.24497688442211057,0.020267781516530813
97,500,10,1,0.2,0.30192582192582196,0.11055031234095586,0.8371547292503341,0.019738152041461295,0.2821256281407035,0.02656387497239725
98,500,10,1,0.5,0.3140786240786241,0.12422679502852142,0.8468836414072245,0.03414754928668757,0.2971859296482412,0.015874951670895546
99,500,10,1,1.0,0.2924314689020572,0.08098267170261923,0.862771972879057,0.016046669507783686,0.2941738693467337,0.02423206204575081
100,500,10,2,0.1,0.05161290322580645,0.02885249003225535,0.8029395604395605,0.02165708322266227,0.2319246231155779,0.020391744638772177
101,500,10,2,0.2,0.12426686217008798,0.041484686864487065,0.8368455860290988,0.02872239798645235,0.26606130653266336,0.018238930876844594
102,500,10,2,0.5,0.3009663195421709,0.09357495167906271,0.8234619047350715,0.040293264591996246,0.29417386934673373,0.02670580229586355
103,500,10,2,1.0,0.4300515723758191,0.1242332477210627,0.8068932903960955,0.022143943054463374,0.320278391959799,0.02370635825962709
104,500,10,5,0.1,0.0,0.0,0.807593984962406,0.022745432963388754,0.20280804020100507,0.014807169168390828
105,500,10,5,0.2,0.06451612903225806,0.0,0.8273797838354715,0.02338182110755886,0.2710814070351759,0.030412032361065523
106,500,10,5,0.5,0.2649350649350649,0.046463750181813805,0.7936811588222622,0.01655572487174289,0.33132261306532673,0.02914253738377143
107,500,10,5,1.0,0.46629143214509067,0.0789211932548968,0.7762969251994714,0.013873094211627942,0.35240703517587946,0.017023989078246603
